ID,Label,Database,InChI
649,N-Acetyl-L-glutamic acid,nist17,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1"
28,N-Acetyl-L-glutamic acid,nist17,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1"
14173,N-Acetyl-L-glutamic acid,nist17,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1"
14189,4-PYRIDOXATE,nist17,N/A
9520,4-PYRIDOXATE,nist17,N/A
1091,N-Acetyl-L-glutamine,nist17,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
614,N-ACETYL-DL-SERINE,nist17,N/A
5465,N-ACETYL-DL-SERINE,nist17,N/A
1919,DL-Malic acid,nist17,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"
6601,PYRIDOXINE,nist17,N/A
45566,D-PANTOTHENIC ACID,nist17,N/A
74196,N-Acetyl-L-glutamine,nist17,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
271,N-Acetyl-L-glutamine,nist17,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
11560,"1,4-D-Xylobiose",nist17,"InChI=1S/C10H18O9/c11-1-4(13)7(15)6(2-12)19-10-9(17)8(16)5(14)3-18-10/h1,4-10,12-17H,2-3H2/t4-,5+,6+,7+,8-,9+,10-/m0/s1"
2673,D-PANTOTHENIC ACID,nist17,N/A
52503,6.alpha.-Mannobiose,nist17,"InChI=1S/C12H22O11/c13-1-4(15)7(17)8(18)5(16)3-22-12-11(21)10(20)9(19)6(2-14)23-12/h1,4-12,14-21H,2-3H2/t4-,5-,6-,7-,8-,9-,10+,11+,12+/m1/s1"
17873,N-Acetyl-L-glutamine,nist17,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
1126,2-Isopropylmalic acid,nist17,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)"
12192,Ribitol,nist17,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2"
865,2-Isopropylmalic acid,nist17,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)"
42461,2-Isopropylmalic acid,nist17,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)"
2179,Spectral Match to Threonic acid from NIST14,nist17,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m1/s1"
20084,DEOXYCYTIDINE,nist17,N/A
277,D-Fructose,nist17,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6-/m1/s1"
