inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
FHAYCPCELOVYSA	InChI=1S/C10H13NO4/c1-2-4-7-5(3-6(12)13)9(10(14)15)11-8(4)7/h2,4-5,7-9,11H,1,3H2,(H,12,13)(H,14,15)	C10H13NO4	1	-3012.4419453509527	""	C=CC1C2C(CC(=O)O)C(C(=O)O)NC12	-0.216000006	""	PubChem:(10846169 102533099)
HVYIJDZMCQVJSH	InChI=1S/C10H15NO5/c1-5(4-12)7-3-11-9(10(15)16)6(7)2-8(13)14/h6-7,9,11-12H,1-4H2,(H,13,14)(H,15,16)	C10H15NO5	2	-3013.772669207424	""	C=C(CO)C1CNC(C1CC(=O)O)C(=O)O	-1.67200005	""	KEGG Mine
FJSXAKAPVRKCNG	InChI=1S/C10H13NO4/c1-5(2)7-4-11-9(10(14)15)6(7)3-8(12)13/h4,6,9,11H,1,3H2,2H3,(H,12,13)(H,14,15)	C10H13NO4	3	-3032.056710877503	""	C=C(C)C1=CNC(C1CC(=O)O)C(=O)O	0.126000002	""	KEGG Mine
IJRADPKKEZABEU	InChI=1S/C10H13NO4/c1-4-2-5(9(12)13)7-6(4)3-11-8(7)10(14)15/h2,5-8,11H,3H2,1H3,(H,12,13)(H,14,15)	C10H13NO4	4	-3036.0510408668565	(3S,3aR,4R,6aS)-6-methyl-1,2,3,3a,4,6a-hexahydrocyclopenta[c]pyrrole-3,4-dicarboxylic acid	CC1=CC(C2C1CNC2C(=O)O)C(=O)O	-0.869000018	""	PubChem:(11820456)
DIBBKBCPOVKCNE	InChI=1S/C10H15NO5/c1-4(2)7-5(3-6(12)13)8(10(15)16)11-9(7)14/h5,7-9,11,14H,1,3H2,2H3,(H,12,13)(H,15,16)	C10H15NO5	5	-3036.59030819616	""	C=C(C)C1C(CC(=O)O)C(C(=O)O)NC1O	-0.748000026	""	KEGG Mine
ZLXZBKDGRBYRGD	InChI=1S/C10H13NO4/c1-5(2)7-4-11-9(10(14)15)6(7)3-8(12)13/h3,7,9,11H,1,4H2,2H3,(H,12,13)(H,14,15)	C10H13NO4	6	-3037.8744242567113	""	C=C(C)C1CNC(C1=CC(=O)O)C(=O)O	-0.802999973	""	PubChem:(9920757);KEGG Mine
ZXGUQSFBXVOTKK	InChI=1S/C10H13NO4/c1-4-2-5(9(12)13)7-6(4)3-11-8(7)10(14)15/h5-8,11H,1-3H2,(H,12,13)(H,14,15)	C10H13NO4	7	-3038.0116882036973	""	C=C1CC(C2C1CNC2C(=O)O)C(=O)O	-0.934000015	""	PubChem:(10036051 10104578 10353096)
QPHKSXMCYYRYFE	InChI=1S/C10H15NO5/c12-7-11-8(3-1-5-9(13)14)4-2-6-10(15)16/h8H,1-6H2,(H,13,14)(H,15,16)	C10H15NO5	8	-3038.983455433976	""	C(CC(CCCC(=O)O)N=C=O)CC(=O)O	2.16899991	""	PubChem:(21452306)
ZTBSUIBCNSAHFF	InChI=1S/C10H15NO5/c12-8(13)4-1-5-9(14)16-10(15)7-3-2-6-11-7/h7,11H,1-6H2,(H,12,13)	C10H15NO5	9	-3039.4609457617653	""	C(CC(=O)O)CC(=O)OC(=O)C1CCCN1	0.31400001	""	PubChem:(88797537)
NWJIVXLVRFSTSN	InChI=1S/C10H13NO4/c1-5(2)7-4-11-9(10(14)15)6(7)3-8(12)13/h7,11H,1,3-4H2,2H3,(H,12,13)(H,14,15)	C10H13NO4	10	-3039.791065888142	""	C=C(C)C1CNC(=C1CC(=O)O)C(=O)O	-0.164000005	""	KEGG Mine
WHSSUXAZSZFMCD	InChI=1S/C10H15NO5/c1-5(2)7(4-12)6(3-8(13)14)9(11)10(15)16/h4,6-7,9H,1,3,11H2,2H3,(H,13,14)(H,15,16)	C10H15NO5	11	-3041.0785153122642	""	C=C(C)C(C=O)C(CC(=O)O)C(C(=O)O)N	-2.85299993	""	KEGG Mine
DRWZVWQTBJUFGW	InChI=1S/C10H13NO4/c1-5(2)7-4-11-9(10(14)15)6(7)3-8(12)13/h9,11H,1,3-4H2,2H3,(H,12,13)(H,14,15)	C10H13NO4	12	-3041.535661666521	""	C=C(C)C1=C(CC(=O)O)C(C(=O)O)NC1	-0.744000018	""	KEGG Mine
HUOFYCYRUBRYLO	InChI=1S/C10H15NO5/c1-6(5-8(12)13)9(14)16-10(15)7-3-2-4-11-7/h6-7,11H,2-5H2,1H3,(H,12,13)	C10H15NO5	13	-3046.1762230595136	""	CC(CC(=O)O)C(=O)OC(=O)C1CCCN1	0.248999998	""	PubChem:(88797187)
WVPYEIPRXHYOFK	InChI=1S/C10H15NO5/c12-8(13)4-5-9(14)16-10(15)7-3-1-2-6-11-7/h7,11H,1-6H2,(H,12,13)	C10H15NO5	14	-3047.1932501800206	""	C1CCNC(C1)C(=O)OC(=O)CCC(=O)O	0.31400001	""	PubChem:(88315160)
XZWSXIBLAKCMOK	InChI=1S/C10H15NO5/c1-5(2)6-3-11-8(9(12)13)7(6)4-16-10(14)15/h6-8,11H,1,3-4H2,2H3,(H,12,13)(H,14,15)	C10H15NO5	15	-3051.289367543216	""	C=C(C)C1CNC(C1COC(=O)O)C(=O)O	0.128000006	""	KEGG Mine
CPYGVHVEQZZNTC	InChI=1S/C10H15NO5/c1-6(2)8(10(15)16)11-7(9(13)14)4-3-5-12/h6-8,11-12H,4H2,1-2H3,(H,13,14)(H,15,16)	C10H15NO5	16	-3062.7269209803094	""	CC(C)C(C(=O)O)NC(CC#CO)C(=O)O	0.500999987	""	KEGG Mine
GOTLYEPCNSMEBY	InChI=1S/C10H15NO5/c1-5(2)6-4-11-8(9(14)15)10(6,16)3-7(12)13/h6,8,11,16H,1,3-4H2,2H3,(H,12,13)(H,14,15)	C10H15NO5	17	-3064.0837702255862	""	C=C(C)C1CNC(C(=O)O)C1(CC(=O)O)O	0.164000005	""	KEGG Mine
HNVHGFRSJMKRDN	InChI=1S/C10H15NO5/c12-8(13)5-11-9(14)6-3-1-2-4-7(6)10(15)16/h6-7H,1-5H2,(H,11,14)(H,12,13)(H,15,16)	C10H15NO5	18	-3065.0849601003533	""	C1CCC(C(C1)C(=NCC(=O)O)O)C(=O)O	-0.0820000023	""	PubChem:(10014032 44375195 105634311)
