inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
GNVPKLAWCFKGJV	InChI=1S/C14H25O5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)19-20(16,17)18/h9-12H,2-8,13H2,1H3,(H2,16,17,18)	C14H25O5P	1	-3030.4630499375726	""	CCCCCCCCC=CC=CCC(=O)OP(=O)(O)O	4.23400021	""	EcoCyc Mine
JKIWBAWZLADXJL	InChI=1S/C14H23O4P/c1-5-9-10-13(7-3)12-14(8-4,11-6-2)18-19(15,16)17/h2,4,13H,5,7,9-12H2,1,3H3,(H2,15,16,17)	C14H23O4P	2	-3042.5405717680514	""	CCCCC(CC)CC(C#C)(CC#C)OP(=O)(O)O	2.8900001	""	PubChem:(88759531)
CSLKDAIKQFLNNG	InChI=1S/C14H23O4P/c1-8-11-12-16-19(15,17-13(4,5)9-2)18-14(6,7)10-3/h2-3H,8,11-12H2,1,4-7H3	C14H23O4P	3	-3049.5140832998845	""	CCCCOP(=O)(OC(C)(C)C#C)OC(C)(C)C#C	2.46799994	""	PubChem:(89612892)
PQMVLQOLKJKNMQ	InChI=1S/C14H25O5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)19-20(16,17)18/h9-10,12-13H,2-8,11H2,1H3,(H2,16,17,18)	C14H25O5P	4	-3051.024089626656	""	CCCCCCCCC=CCC=CC(=O)OP(=O)(O)O	4.56699991	""	EcoCyc Mine
DGYDKFAKQVFRTO	InChI=1S/C14H23O4P/c1-5-9-10-14(8-4)13-18-19(15,16-11-6-2)17-12-7-3/h2-3,14H,5,8-13H2,1,4H3	C14H23O4P	5	-3051.205307853579	""	CCCCC(CC)COP(=O)(OCC#C)OCC#C	3.20000005	""	PubChem:(88759529)
OKGAHGCVBBFBOJ	InChI=1S/C14H23O4P/c1-3-5-9-13(4-2)12-17-18-19(15,16)14-10-7-6-8-11-14/h6-8,10-11,13H,3-5,9,12H2,1-2H3,(H,15,16)	C14H23O4P	6	-3052.0334717197848	""	CCCCC(CC)COOP(=O)(C1=CC=CC=C1)O	4.19999981	""	PubChem:(88832252)
UBZFKWNPSYMLGL	InChI=1S/C14H23O4P/c1-4-7-9-10-12-17-19(15,16)18-13-14(6-3)11-8-5-2/h1,14H,5-9,11,13H2,2-3H3,(H,15,16)	C14H23O4P	7	-3052.4970564871714	""	C#CCCC#COP(=O)(O)OCC(CC)CCCC	3.92199993	""	PubChem:(88759530)
MSADMSIHIXRSPN	InChI=1S/C14H25O5P/c1-2-3-4-5-6-9-14(20-19,10-7-12(15)16)11-8-13(17)18/h2-11H2,1H3,(H,15,16)(H,17,18)	C14H25O5P	8	-3052.8884316464946	""	CCCCCCCC(CCC(=O)O)(CCC(=O)O)P=O	2.88499999	""	PubChem:(22902912)
SWICGDBDZLIQMA	InChI=1S/C14H23O4P/c1-14(2,3)13-10-5-4-8-12(13)9-6-7-11-18-19(15,16)17/h4-5,8,10H,6-7,9,11H2,1-3H3,(H2,15,16,17)	C14H23O4P	9	-3053.2014516197646	""	CC(C)(C)C1=C(C=CC=C1)CCCCOP(=O)(O)O	2.88400006	""	PubChem:(54328011)
SDWUQIDETLBAIU	InChI=1S/C14H23O4P/c1-2-3-4-5-6-10-13-17-19(15,16)18-14-11-8-7-9-12-14/h7-9,11-12H,2-6,10,13H2,1H3,(H,15,16)	C14H23O4P	10	-3053.466059550841	Octyl phenyl hydrogen phosphate	CCCCCCCCOP(=O)(O)OC1=CC=CC=C1	4.33400011	""	PubChem:(82742 19850560)
MHCRGXPXNNWDPG	InChI=1S/C14H25O5P/c15-11-14(16)20(17,18-12-7-3-1-4-8-12)19-13-9-5-2-6-10-13/h12-13,15H,1-11H2	C14H25O5P	11	-3056.1250529819376	""	C1CCC(CC1)OP(=O)(C(=O)CO)OC2CCCCC2	1.79499996	""	PubChem:(54072028)
LIZFPNTZQOWEPN	InChI=1S/C14H25O5P/c15-8-4-5-9-20(18,19)11-13(14(16)17)10-12-6-2-1-3-7-12/h10,12,15H,1-9,11H2,(H,16,17)(H,18,19)	C14H25O5P	12	-3056.636334599246	""	C1CCC(CC1)C=C(CP(=O)(CCCCO)O)C(=O)O	2.13400006	""	PubChem:(15735617 54036005 88434581)
ZUEQZAHSVFGXFH	InChI=1S/C14H23O4P/c1-14(2,3)13(12-8-5-4-6-9-12)10-7-11-18-19(15,16)17/h4-6,8-9,13H,7,10-11H2,1-3H3,(H2,15,16,17)	C14H23O4P	13	-3056.7944366533743	""	CC(C)(C)C(CCCOP(=O)(O)O)C1=CC=CC=C1	3.25399995	""	PubChem:(57275620)
DDCFHCSPGKODJA	InChI=1S/C14H23O4P/c1-2-3-4-5-9-12-14(18-19(15,16)17)13-10-7-6-8-11-13/h6-8,10-11,14H,2-5,9,12H2,1H3,(H2,15,16,17)	C14H23O4P	14	-3057.0940284529956	""	CCCCCCCC(C1=CC=CC=C1)OP(=O)(O)O	3.71099997	""	PubChem:(70485077)
CZMDWKOHIUSISE	InChI=1S/C14H25O5P/c1-5-7-9-18-20(17,19-10-8-6-2)11-14(12(3)15)13(4)16/h11H,5-10H2,1-4H3	C14H25O5P	15	-3057.476558574419	dibutyl (2-acetyl-3-oxobut-1-en-1-yl)phosphonate	CCCCOP(=O)(C=C(C(=O)C)C(=O)C)OCCCC	2.85299993	""	PubChem:(305909)
KXMIFQGZGLWVNM	InChI=1S/C14H23O4P/c1-2-13(12-18-19(15,16)17)8-6-7-11-14-9-4-3-5-10-14/h3-5,9-10,13H,2,6-8,11-12H2,1H3,(H2,15,16,17)	C14H23O4P	16	-3057.7764290787786	(2-ethyl-6-phenylhexyl) dihydrogen phosphate	CCC(CCCCC1=CC=CC=C1)COP(=O)(O)O	3.0710001	""	PubChem:(20227070)
YQXIXHUTOFUVSJ	InChI=1S/C14H23O4P/c1-3-5-12-18-19(16,17-11-4-2)14(15)13-9-7-6-8-10-13/h6-10,14-15H,3-5,11-12H2,1-2H3	C14H23O4P	17	-3060.210407802171	Phosphonic acid, (hydroxyphenylmethyl)-, butyl propyl ester	CCCCOP(=O)(C(C1=CC=CC=C1)O)OCCC	2.59800005	""	PubChem:(71398015)
LHMYCUAECPFOMN	InChI=1S/C14H25O5P/c15-11-14(16)20(17,18-12-7-3-1-4-8-12)19-13-9-5-2-6-10-13/h11-14,16H,1-10H2	C14H25O5P	18	-3062.5838418415856	""	C1CCC(CC1)OP(=O)(C(C=O)O)OC2CCCCC2	2.20900011	""	PubChem:(12829188)
NYHJFGFQHVDIGA	InChI=1S/C14H25O5P/c1-11(2)7-6-9-12(3)8-4-5-10-13(14(15)16)20(17,18)19/h7-8,13H,4-6,9-10H2,1-3H3,(H,15,16)(H2,17,18,19)	C14H25O5P	19	-3063.159485862267	""	CC(=CCCC(=CCCCC(C(=O)O)P(=O)(O)O)C)C	2.2650001	""	PubChem:(10357659 54136813)
KYXBRGDYGDOBAX	InChI=1S/C14H23O4P/c1-3-4-5-9-12-18-14(2,19(15,16)17)13-10-7-6-8-11-13/h6-8,10-11H,3-5,9,12H2,1-2H3,(H2,15,16,17)	C14H23O4P	20	-3063.2069527835943	ACMC-20lnnv	CCCCCCOC(C)(C1=CC=CC=C1)P(=O)(O)O	2.546	""	PubChem:(13202568)
WWFISMJERHSKCN	InChI=1S/C14H25O5P/c1-5-8-9-10-14(12-11-13(4)15)19-20(16,17-6-2)18-7-3/h14H,5-10H2,1-4H3	C14H25O5P	21	-3064.7417114488644	""	CCCCCC(C#CC(=O)C)OP(=O)(OCC)OCC	3.0539999	""	PubChem:(102515589)
LPUNOVBBLQOJMY	InChI=1S/C14H23O4P/c1-3-17-19(16,18-4-2)14(15)12-8-11-13-9-6-5-7-10-13/h5-7,9-10,14-15H,3-4,8,11-12H2,1-2H3	C14H23O4P	22	-3065.7445988659283	""	CCOP(=O)(C(CCCC1=CC=CC=C1)O)OCC	2.33200002	""	PubChem:(15706627)
CPGCSFSOTDGQOB	InChI=1S/C14H25O5P/c1-12-9-7-5-3-2-4-6-8-10-13(14(12)15)11-19-20(16,17)18/h13H,1-11H2,(H2,16,17,18)	C14H25O5P	23	-3067.997514013852	""	C=C1CCCCCCCCCC(COP(=O)(O)O)C1=O	2.37800002	""	PubChem:(71767021)
DZYCHISPRUESAN	InChI=1S/C14H25O5P/c1-4-17-12-13(14(15)10-8-7-9-11-14)20(16,18-5-2)19-6-3/h8,10,12,15H,4-7,9,11H2,1-3H3	C14H25O5P	24	-3068.1316413653876	""	CCOC=C(C1(C=CCCC1)O)P(=O)(OCC)OCC	2.0710001	""	PubChem:(10804447)
YICSVBJRVMLQNS	InChI=1S/C14H23O4P/c1-3-5-12-16-19(15,17-13-6-4-2)18-14-10-8-7-9-11-14/h7-11H,3-6,12-13H2,1-2H3	C14H23O4P	25	-3068.8393088262833	Dibutyl phenylphosphate	CCCCOP(=O)(OCCCC)OC1=CC=CC=C1	3.92700005	""	PubChem:(17312);HSDB:(2528-36-1);biological
LSZZILGIJUTALJ	InChI=1S/C14H23O4P/c1-4-12(13-7-8-14(15)11-13)9-10-19(16,17-5-2)18-6-3/h9,11H,4-8,10H2,1-3H3	C14H23O4P	26	-3068.9226928939	""	CCC(=CCP(=O)(OCC)OCC)C1=CC(=O)CC1	1.375	""	PubChem:(10827057 101997735)
DAFWITCOWRDLQC	InChI=1S/C14H23O4P/c1-3-12(2)11-14(9-10-18-19(15,16)17)13-7-5-4-6-8-13/h4-8,12,14H,3,9-11H2,1-2H3,(H2,15,16,17)	C14H23O4P	27	-3070.6435693556655	""	CCC(C)CC(CCOP(=O)(O)O)C1=CC=CC=C1	3.21700001	""	PubChem:(57544028)
XNYOSTCTYPPDSD	InChI=1S/C14H23O4P/c1-4-14(17-5-2,18-6-3)19(15,16)12-13-10-8-7-9-11-13/h7-11H,4-6,12H2,1-3H3,(H,15,16)	C14H23O4P	28	-3071.2111189539637	""	CCC(OCC)(OCC)P(=O)(CC1=CC=CC=C1)O	2.18000007	""	PubChem:(67854334)
RFECZOZUGIICPZ	InChI=1S/C14H23O4P/c1-4-5-9-12-14(2,3)18-19(15,16)17-13-10-7-6-8-11-13/h6-8,10-11H,4-5,9,12H2,1-3H3,(H,15,16)	C14H23O4P	29	-3073.0193399947293	2-methylheptan-2-yl phenyl hydrogen phosphate	CCCCCC(C)(C)OP(=O)(O)OC1=CC=CC=C1	4.07299995	""	PubChem:(21118946)
YMUMDSCPIALDPX	InChI=1S/C14H23O4P/c1-3-17-19(16,18-4-2)12-14(15)11-10-13-8-6-5-7-9-13/h5-9,14-15H,3-4,10-12H2,1-2H3	C14H23O4P	30	-3073.1774457236124	Phosphonic acid, (2-hydroxy-4-phenylbutyl)-, diethyl ester	CCOP(=O)(CC(CCC1=CC=CC=C1)O)OCC	2.12100005	""	PubChem:(11392025)
UBIIIURBTFICGX	InChI=1S/C14H23O4P/c1-4-17-19(16,18-5-2)12-14(3,15)11-13-9-7-6-8-10-13/h6-10,15H,4-5,11-12H2,1-3H3	C14H23O4P	31	-3073.9738786929965	""	CCOP(=O)(CC(C)(CC1=CC=CC=C1)O)OCC	2.18000007	""	PubChem:(10755617)
FJZRPVYSSGIIEO	InChI=1S/C14H25O5P/c1-12-10-8-6-4-3-5-7-9-11-13(14(12)15)19-20(16,17)18-2/h13H,1,3-11H2,2H3,(H,16,17)	C14H25O5P	32	-3074.242201348385	""	C=C1CCCCCCCCCC(C1=O)OP(=O)(O)OC	2.76099992	""	PubChem:(89825527)
QJTYPYCJWBGZCV	InChI=1S/C14H23O4P/c1-10(12-7-8-12)13(14(15)16)19(17,18)9-11-5-3-2-4-6-11/h11-12H,2-9H2,1H3,(H,15,16)(H,17,18)	C14H23O4P	33	-3074.713362030784	""	CC(=C(C(=O)O)P(=O)(CC1CCCCC1)O)C2CC2	2.51300001	""	PubChem:(88620382)
YWVDJOPOFOQUBC	InChI=1S/C14H23O4P/c1-11-7-12(2)9-13(8-11)5-6-14(15)10-19(16,17-3)18-4/h7-9,14-15H,5-6,10H2,1-4H3	C14H23O4P	34	-3075.061686003907	""	CC1=CC(=CC(=C1)C)CCC(CP(=O)(OC)OC)O	2.14899993	""	PubChem:(123647062)
LTXLJUCXCLZFIP	InChI=1S/C14H23O4P/c15-10-4-6-12-19(17,13-7-5-11-16)18-14-8-2-1-3-9-14/h1-3,8-9,15-16H,4-7,10-13H2	C14H23O4P	35	-3075.768846894821	""	C1=CC=C(C=C1)OP(=O)(CCCCO)CCCCO	2.06299996	""	PubChem:(69095386)
WIDZHEQPBAQRAX	InChI=1S/C14H23O4P/c1-11(2)14(15)19(16,17-12-7-3-4-8-12)18-13-9-5-6-10-13/h12-13H,1,3-10H2,2H3	C14H23O4P	36	-3075.999625928793	1-dicyclopentyloxyphosphoryl-2-methylprop-2-en-1-one	C=C(C)C(=O)P(=O)(OC1CCCC1)OC2CCCC2	2.16400003	""	PubChem:(23001995)
FWGWLJNJCDGYQV	InChI=1S/C14H23O4P/c1-3-5-6-9-12-17-19(15,16)18-14-11-8-7-10-13(14)4-2/h7-8,10-11H,3-6,9,12H2,1-2H3,(H,15,16)	C14H23O4P	37	-3076.8665611464708	""	CCCCCCOP(=O)(O)OC1=C(CC)C=CC=C1	3.88599992	""	PubChem:(53821770)
YVEYGJLHLQBNAM	InChI=1S/C14H23O4P/c1-12(2)17-19(15,18-13(3)4)16-11-10-14-8-6-5-7-9-14/h5-9,12-13H,10-11H2,1-4H3	C14H23O4P	38	-3077.551155512321	""	CC(C)OP(=O)(OCCC1=CC=CC=C1)OC(C)C	2.94400001	""	PubChem:(10827058)
