inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
MQMWRJFAKZOCTL	InChI=1S/C8H13NO/c1-2-3-4-9-5-7-10-8-6-9/h4-8H2,1H3	C8H13NO	1	-120.17027072706753	""	CC#CCN1CCOCC1	0.529999971	""	PubChem:(45087811)
VBBQGWSNIHVOOE	InChI=1S/C8H17NO3/c1-7(3-5-10)12-6-4-9-8(2)11/h7,10H,3-6H2,1-2H3,(H,9,11)	C8H17NO3	2	-127.08870475777772	""	CC(CCO)OCCN=C(C)O	0.0469999984	""	PubChem:(88884051)
FZJOJNBFBGTOPZ	InChI=1S/C8H17NO3/c10-6-8(7-11)5-9-1-3-12-4-2-9/h8,10-11H,1-7H2	C8H17NO3	3	-129.4460229703312	""	C1COCCN1CC(CO)CO	-1.523	""	PubChem:(122436282)
ZBNINCSWEYRQBG	InChI=1S/C8H17NO3/c1-4-9-7(11)12-6-8(2,3)5-10/h10H,4-6H2,1-3H3,(H,9,11)	C8H17NO3	4	-131.29965525047336	""	CCN=C(O)OCC(C)(C)CO	1.06299996	""	PubChem:(87800865)
KOBBRHHMLVZQMP	InChI=1S/C8H17NO3/c1-4-11-7(3)6-9-8(10)12-5-2/h7H,4-6H2,1-3H3,(H,9,10)	C8H17NO3	5	-132.9591125814952	""	CCOC(C)CN=C(O)OCC	1.41499996	""	PubChem:(115649300)
WDXPIAORHDHUTH	InChI=1S/C8H17NO3/c1-7(8(2)12)9(3-5-10)4-6-11/h7,10-11H,3-6H2,1-2H3	C8H17NO3	6	-133.08138704231484	""	CC(C(=O)C)N(CCO)CCO	-1.18200004	""	PubChem:(62051449)
RIAJFPSSTFITBB	InChI=1S/C8H17NO3/c1-6(2)8(12)9-3-7(4-10)5-11/h6-7,10-11H,3-5H2,1-2H3,(H,9,12)	C8H17NO3	7	-134.26430539452718	""	CC(C)C(=NCC(CO)CO)O	-0.512000024	""	PubChem:(87495054)
UQHZDUJZHRSWFK	InChI=1S/C8H13NO/c1-2-3-4-9-5-7-10-8-6-9/h1H,3-8H2	C8H13NO	8	-135.23987345087303	4-but-3-ynylmorpholine	C#CCCN1CCOCC1	0.0890000015	""	PubChem:(10773054)
IPPZQTPGJZCMMK	InChI=1S/C8H13NO/c1-3-8(2)9-4-6-10-7-5-9/h1,8H,4-7H2,2H3	C8H13NO	9	-136.04500635863283	""	C#CC(C)N1CCOCC1	0.456999987	""	PubChem:(121273615)
FPQFUTPZTDGPST	InChI=1S/C8H17NO3/c1-6(10)3-4-8(12)9-5-7(2)11/h6-7,10-11H,3-5H2,1-2H3,(H,9,12)	C8H17NO3	10	-136.78529799196244	""	CC(CCC(=NCC(C)O)O)O	-0.181999996	""	PubChem:(79201040 107860428 107860433)
AQYQQJQUIRVMLX	InChI=1S/C8H15NO2/c1-8(10-2)7-9-3-5-11-6-4-9/h2,8H,3-7H2,1H3	C8H15NO2	11	-136.78656439662382	""	CC(CN1CCOCC1)[O+]=[CH-]	0.074000001	""	PubChem:(58450201)
NNSRBQRHBBMYCQ	InChI=1S/C8H13NO/c1-4-5-6-7(2)9-8(3)10/h7H,4H2,1-3H3,(H,9,10)	C8H13NO	12	-137.07088930084572	""	CCC#CC(C)N=C(C)O	1.74699998	""	PubChem:(11159359)
NKQJPQDAFDWARB	InChI=1S/C8H17NO3/c1-7(2)5-12-6-8(11)9-3-4-10/h7,10H,3-6H2,1-2H3,(H,9,11)	C8H17NO3	13	-138.38519666101186	""	CC(C)COCC(=NCCO)O	-0.0209999997	""	PubChem:(117790156)
VFKIRRMLOBWRBH	InChI=1S/C8H17NO3/c1-8(2,6-11)5-7(12)9-3-4-10/h10-11H,3-6H2,1-2H3,(H,9,12)	C8H17NO3	14	-138.5664445031317	""	CC(C)(CC(=NCCO)O)CO	-0.409999996	""	PubChem:(123601540)
BLIMWOGCOCPQEU	InChI=1S/C8H17NO3/c10-4-8-12-7-3-9-1-5-11-6-2-9/h10H,1-8H2	C8H17NO3	15	-138.79400752081492	2-(2-morpholin-4-ylethoxy)ethanol	C1COCCN1CCOCCO	-1.23599994	""	PubChem:(458464 40531054)
ZWZXKUXOVHUPKN	InChI=1S/C8H17NO3/c1-7(2)8(11)9-3-5-12-6-4-10/h7,10H,3-6H2,1-2H3,(H,9,11)	C8H17NO3	16	-139.47214143858236	N-[2-(2-hydroxyethoxy)ethyl]-2-methylpropanamide	CC(C)C(=NCCOCCO)O	-0.224999994	""	PubChem:(58767465)
YDVPNDAEIFTDSN	InChI=1S/C8H17NO3/c1-6(2)8(11)9-7(4-10)5-12-3/h6-7,10H,4-5H2,1-3H3,(H,9,11)	C8H17NO3	17	-139.80925900252538	""	CC(C)C(=NC(CO)COC)O	-0.122000001	""	PubChem:(108413546)
ISQXTWACKKIYHZ	InChI=1S/C8H17NO3/c1-2-3-8(12)9-4-7(5-10)6-11/h7,10-11H,2-6H2,1H3,(H,9,12)	C8H17NO3	18	-139.86306273002816	""	CCCC(=NCC(CO)CO)O	-0.236000001	""	PubChem:(87501753)
XENYNHWLGLZAAS	InChI=1S/C8H17NO3/c1-3-11-6-7-12-5-4-9-8(2)10/h3-7H2,1-2H3,(H,9,10)	C8H17NO3	19	-140.09912801607115	N-[2-(2-ethoxyethoxy)ethyl]acetamide	CCOCCOCCN=C(C)O	0.171000004	""	PubChem:(17940912)
HBEFDUORLGTALR	InChI=1S/C8H17NO3/c1-2-4-9(6-7-10)5-3-8(11)12/h10H,2-7H2,1H3,(H,11,12)	C8H17NO3	20	-140.121525038857	""	CCCN(CCC(=O)O)CCO	-0.324999988	""	PubChem:(60647945)
JVGIKABPCMMNLM	InChI=1S/C8H13NO/c1-3-4-5-6-7-9-8(2)10/h1H,4-7H2,2H3,(H,9,10)	C8H13NO	21	-140.20839970656502	""	C#CCCCCN=C(C)O	1.48099995	""	PubChem:(55298905)
