inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
ZSRQFIXKSYBGHN	InChI=1S/C11H23NO6/c1-6(2-3-12)5-17-11-10(16)9(15)8(14)7(4-13)18-11/h6-11,13-16H,2-5,12H2,1H3	C11H23NO6	1	-135.57496918958515	""	CC(CCN)COC1C(C(C(C(CO)O1)O)O)O	-1.37	""	KEGG Mine
BVDFFAGUPDZEKZ	InChI=1S/C11H23NO6/c1-2-3-4-5-12-18-7-9(15)11(17)10(16)8(14)6-13/h8,10-14,16-17H,2-7H2,1H3	C11H23NO6	2	-144.66806845223653	""	CCCCCNOCC(=O)C(C(C(CO)O)O)O	-1.05599999	""	PubChem:(88401203)
NYUGNEWGTHTWLV	InChI=1S/C11H23NO6/c1-15-4-5-16-6-7-17-8-9-18-10(2-3-12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)	C11H23NO6	3	-146.22004820242242	""	COCCOCCOCCOC(CCN)C(=O)O	-1.48300004	""	PubChem:(113427543)
AUIJBUDXXQGQRC	InChI=1S/C11H23NO6/c1-15-4-5-16-6-7-17-8-9-18-11(14)10(13)2-3-12/h10,13H,2-9,12H2,1H3	C11H23NO6	4	-147.19361565903702	""	COCCOCCOCCOC(=O)C(CCN)O	-1.68099999	""	PubChem:(107837671 114007059)
MZBKLZATVCURDI	InChI=1S/C11H23NO6/c1-6(3-2-4-12)17-11-10(16)9(15)8(14)7(5-13)18-11/h6-11,13-16H,2-5,12H2,1H3	C11H23NO6	5	-150.02611518304084	2-(5-aminopentan-2-yloxy)-6-(hydroxymethyl)oxane-3,4,5-triol	CC(CCCN)OC1C(C(C(C(CO)O1)O)O)O	-1.20700002	""	PubChem:(59074632)
SLUKZQLUZAKYKX	InChI=1S/C11H23NO6/c1-12(2)4-6-18-5-3-8(14)10(16)11(17)9(15)7-13/h9-11,13,15-17H,3-7H2,1-2H3	C11H23NO6	6	-153.2918931286395	""	CN(C)CCOCCC(=O)C(C(C(CO)O)O)O	-3.30900002	""	PubChem:(87772929)
OQOBUQOVWAJFHR	InChI=1S/C11H23NO6/c12-4-2-1-3-5-17-11-10(16)9(15)8(14)7(6-13)18-11/h7-11,13-16H,1-6,12H2	C11H23NO6	7	-153.37100638257758	""	C(CCN)CCOC1C(C(C(C(CO)O1)O)O)O	-1.30900002	""	PubChem:(56634156 68661533 70224852 71153563)
QFYISLATTQPUNX	InChI=1S/C11H23NO6/c1-3-6(2)4-12-11(18)10(17)9(16)8(15)7(14)5-13/h6-10,13-17H,3-5H2,1-2H3,(H,12,18)	C11H23NO6	8	-154.58866360643506	2,3,4,5,6-pentahydroxy-N-(2-methylbutyl)hexanamide	CCC(C)CN=C(C(C(C(C(CO)O)O)O)O)O	-1.88399994	""	PubChem:(59975020)
BHIGLWZFUAVUOM	InChI=1S/C11H23NO6/c1-14-3-4-16-5-6-17-7-8-18-10(9-12)11(13)15-2/h10H,3-9,12H2,1-2H3	C11H23NO6	9	-156.3036892830942	""	COCCOCCOCCOC(CN)C(=O)OC	-1.51999998	""	PubChem:(114242178)
CXPNMVMTXRUZOX	InChI=1S/C11H23NO6/c1-2-3-4-5-12-11(18)10(17)9(16)8(15)7(14)6-13/h7-10,13-17H,2-6H2,1H3,(H,12,18)	C11H23NO6	10	-156.63112214380808	""	CCCCCN=C(C(C(C(C(CO)O)O)O)O)O	-1.61199999	""	PubChem:(53745586)
RDQUJEAXJAFZRR	InChI=1S/C11H25NO7/c1-18-4-5-19-3-2-12-6-8(14)10(16)11(17)9(15)7-13/h8-17H,2-7H2,1H3	C11H25NO7	11	-158.27381652847373	""	COCCOCCNCC(C(C(C(CO)O)O)O)O	-3.95300007	""	PubChem:(118124359)
RYBWOFCERKSRMR	InChI=1S/C11H23NO6/c1-2-3-4-5-8(18-12)10(16)11(17)9(15)7(14)6-13/h7-9,11,13-15,17H,2-6,12H2,1H3	C11H23NO6	12	-159.72635401960548	""	CCCCCC(C(=O)C(C(C(CO)O)O)O)ON	-1.75800002	""	PubChem:(88401206)
SKZWQMSOGMUTCK	InChI=1S/C11H21NO5/c1-9(3-4-11(14)15)12-10(13)5-6-17-8-7-16-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	13	-159.9644889276818	""	CC(CCC(=O)O)N=C(CCOCCOC)O	0.00200000009	""	PubChem:(120238026)
DBGSGUXKPZUKDQ	InChI=1S/C11H23NO6/c1-16-10-7(6-13)18-11(9(15)8(10)14)17-5-3-2-4-12/h7-11,13-15H,2-6,12H2,1H3	C11H23NO6	14	-160.47354099094966	""	COC1C(CO)OC(C(C1O)O)OCCCCN	-2.00600004	""	PubChem:(70816815 89925350)
QHUYLRMSZZQXJY	InChI=1S/C11H23NO6/c1-15-4-5-17-8-9-18-7-6-16-3-2-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)	C11H23NO6	15	-162.05313290986084	""	COCCOCCOCCOCCC(C(=O)O)N	-3.64899993	""	PubChem:(104565064)
LVXPJRBDMBJOPG	InChI=1S/C11H23NO6/c1-11(2,3)5-12-10(18)9(17)8(16)7(15)6(14)4-13/h6-9,13-17H,4-5H2,1-3H3,(H,12,18)	C11H23NO6	16	-165.89354139157763	""	CC(C)(C)CN=C(C(C(C(C(CO)O)O)O)O)O	-2.05800009	""	PubChem:(126706636)
MBRDXNXASOVENL	InChI=1S/C11H23NO6/c1-2-3-4-5-12-18-9(7-14)11(17)10(16)8(15)6-13/h7-13,15-17H,2-6H2,1H3	C11H23NO6	17	-166.92526736129219	""	CCCCCNOC(C=O)C(C(C(CO)O)O)O	-0.541999996	""	PubChem:(88622295)
NVBQTTJUBDLTFN	InChI=1S/C11H21NO5/c1-8(17-3)4-5-10(13)12-9(11(14)15)6-7-16-2/h8-9H,4-7H2,1-3H3,(H,12,13)(H,14,15)	C11H21NO5	18	-168.04089814628142	""	CC(CCC(=NC(CCOC)C(=O)O)O)OC	0.00100000005	""	PubChem:(104160723)
YWDKKBNFHXVOSI	InChI=1S/C11H23NO6/c1-10(11(13)14)18-9-8-17-7-6-16-5-4-15-3-2-12/h10H,2-9,12H2,1H3,(H,13,14)	C11H23NO6	19	-168.08358077103995	""	CC(C(=O)O)OCCOCCOCCOCCN	-1.41799998	""	PubChem:(87666746)
