inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
OQMCTOLCAGPTLA	InChI=1S/C10H20N2O7/c11-7(16)1-2-8(17)12-3-5(14)9(18)10(19)6(15)4-13/h5-6,9-10,13-15,18-19H,1-4H2,(H2,11,16)(H,12,17)	C10H20N2O7	1	-128.18895091871636	""	C(CC(=NCC(C(C(C(CO)O)O)O)O)O)C(=N)O	-3.49300003	""	PubChem:(88252041)
HLJNSTTUDCLQCJ	InChI=1S/C9H8N12/c10-5-4-7(14-1-13-5)21(19-18-4)20-2-15-3-6(11)16-9(12)17-8(3)20/h1-2H,(H2,10,13,14)(H4,11,12,16,17)	C9H8N12	2	-144.77923672685992	""	C1=NC2=C(C(=N1)N)N=NN2N3C=NC4=C(N)NC(=N)N=C43	-1.26400006	""	PubChem:(91451324)
NLEYMEWIUAFBTA	InChI=1S/C10H20N2O7/c1-4(14)11-10(12-5(2)15)9(19)8(18)7(17)6(16)3-13/h6-10,13,16-19H,3H2,1-2H3,(H,11,14)(H,12,15)	C10H20N2O7	3	-146.43108307452377	1,1-bis(acetylamino)-1-deoxy-D-galactitol	CC(=NC(C(C(C(C(CO)O)O)O)O)N=C(C)O)O	-3.34899998	""	PubChem:(5297512 7333067 7333068 7333070 7333071 26314212 26314213 26314214 26314215 124771381 124771382)
CESPSFZCPZOJFM	InChI=1S/C10H20N2O7/c13-3-1-11-9(15)18-7-5-17-6-8-19-10(16)12-2-4-14/h13-14H,1-8H2,(H,11,15)(H,12,16)	C10H20N2O7	4	-149.48433832589225	oxydiethane-2,1-diyl bis[(2-hydroxyethyl)carbamate]	C(CO)N=C(O)OCCOCCOC(=NCCO)O	-1.22000003	""	PubChem:(238917)
XUJKAJHIEDTEFP	InChI=1S/C10H20N2O7/c11-5(3-13)1-8(17)12-2-6(15)9(18)10(19)7(16)4-14/h3,5-7,9-10,14-16,18-19H,1-2,4,11H2,(H,12,17)	C10H20N2O7	5	-153.05626389161694	""	C(C(C=O)N)C(=NCC(C(C(C(CO)O)O)O)O)O	-4.31599998	""	PubChem:(121388415)
QBQHPXHBKOSEAT	InChI=1S/C9H8N12/c1-5(16-7-10-2-13-19-7)17-9-12-4-15-21(9)6(1)18-8-11-3-14-20-8/h1-4H,(H2,11,14,18,20)(H2,10,12,13,15,16,17,19)	C9H8N12	6	-157.16029747105753	""	C1=C(NC2=NNC=N2)N3C(=NC1=NC4=NNC=N4)N=CN3	-0.856000006	""	PubChem:(70457881)
PQUZXFSEZXZBMC	InChI=1S/C10H20N2O7/c1-3(14)5(11)9(18)12-10-8(17)7(16)6(15)4(2-13)19-10/h3-8,10,13-17H,2,11H2,1H3,(H,12,18)	C10H20N2O7	7	-164.09219828251875	""	CC(C(C(=NC1C(C(C(C(CO)O1)O)O)O)O)N)O	-2.68300009	""	PubChem:(124188368)
YOYZDDFJZRSZLR	InChI=1S/C10H20N2O7/c11-3-1-2-4-12-9(17)7(15)5(13)6(14)8(16)10(18)19/h5-8,13-16H,1-4,11H2,(H,12,17)(H,18,19)	C10H20N2O7	8	-169.50021037456716	""	C(CCN=C(C(C(C(C(C(=O)O)O)O)O)O)O)CN	-3.43400002	""	PubChem:(10564681)
NCKRSJMPPPWQQW	InChI=1S/C10H20N2O7/c11-3-1-2-6(14)12-19-10-9(17)8(16)7(15)5(4-13)18-10/h5,7-10,13,15-17H,1-4,11H2,(H,12,14)	C10H20N2O7	9	-178.27915817580447	""	C(CC(=NOC1C(C(C(C(CO)O1)O)O)O)O)CN	-1.45700002	""	PubChem:(101003247)
DBTDUTMFTUDVKQ	InChI=1S/C10H20N2O7/c1-3-18-11-5-6(13)7(14)8(15)9(16)10(17)12-19-4-2/h5-9,13-16H,3-4H2,1-2H3,(H,12,17)	C10H20N2O7	10	-182.17589302611213	""	CCON=CC(C(C(C(C(=NOCC)O)O)O)O)O	-0.646000028	""	PubChem:(87189915)
