inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
YEXOWHQZWLCHHD	InChI=1S/C15H22O3/c1-14(2,3)10-7-9(13(17)18)8-11(12(10)16)15(4,5)6/h7-8,16H,1-6H3,(H,17,18)	C15H22O3	1	-3014.000547848103	Oprea1_044717	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O	4.44299984	""	PubChem:(15007 54706891);training set;biological
SBYXJCANHHULHD	InChI=1S/C15H24O4/c16-13(17)9-10-15(14(18)19,11-5-1-2-6-11)12-7-3-4-8-12/h11-12H,1-10H2,(H,16,17)(H,18,19)	C15H24O4	2	-3019.1842196430457	""	C1CCC(C1)C(CCC(=O)O)(C2CCCC2)C(=O)O	3.89199996	""	PubChem:(67327451)
XSUSQCVGITXMTI	InChI=1S/C15H24O4/c1-13(2)9(7-11(16)17)10(8-12(18)19)14(3,4)15(13,5)6/h7-8H2,1-6H3,(H,16,17)(H,18,19)	C15H24O4	3	-3023.061609492461	1-cyclopentene-1,2-diacetic acid, 3,3,4,4,5,5-hexamethyl-	CC1(C)C(=C(CC(=O)O)C(C)(C)C1(C)C)CC(=O)O	2.95700002	""	PubChem:(639041)
XSBFPMJGZCNROG	InChI=1S/C15H22O3/c1-5-6-7-10-8-11(14(17)18)9-12(13(10)16)15(2,3)4/h8-9,16H,5-7H2,1-4H3,(H,17,18)	C15H22O3	4	-3023.338698178774	""	CCCCC1=C(C(=CC(=C1)C(=O)O)C(C)(C)C)O	4.66499996	""	PubChem:(57305713)
YBOYDJZPDZFXDN	InChI=1S/C15H24O4/c1-5-14(2,3)13(18)19-11-7-9-6-10(11)15(4,8-9)12(16)17/h9-11H,5-8H2,1-4H3,(H,16,17)	C15H24O4	5	-3023.4803583610023	""	CCC(C)(C)C(=O)OC1CC2CC1C(C)(C2)C(=O)O	2.32299995	""	PubChem:(89987856)
CIFYTVCWBKNECW	InChI=1S/C15H22O3/c1-9-7-10(15(5,6)13(17)18)8-11(12(9)16)14(2,3)4/h7-8,16H,1-6H3,(H,17,18)	C15H22O3	6	-3024.2491097814127	""	CC1=C(C(=CC(=C1)C(C)(C)C(=O)O)C(C)(C)C)O	3.79900002	""	PubChem:(88281287)
SUSPOTPWHKQMBX	InChI=1S/C15H24O4/c1-7-10(16)4-8-11(13(18)19)12(17)9-5-14(2,3)6-15(7,8)9/h7-12,16-17H,4-6H2,1-3H3,(H,18,19)	C15H24O4	7	-3024.648802675742	""	CC1C(CC2C(C(C3CC(C)(C)CC123)O)C(=O)O)O	2.36599994	""	KEGG Mine
QWRMCQIYMDWIKH	InChI=1S/C15H22O3/c1-14(2,3)11-8-6-7-10(12(11)16)9-15(4,5)13(17)18/h6-8,16H,9H2,1-5H3,(H,17,18)	C15H22O3	8	-3025.591433896998	""	CC(C)(C)C1=C(C(=CC=C1)CC(C)(C)C(=O)O)O	3.31200004	""	PubChem:(117379536)
AOYJDJZMECLPSO	InChI=1S/C15H22O3/c1-14(2,3)11-8-6-7-9-12(11)18-10-15(4,5)13(16)17/h6-9H,10H2,1-5H3,(H,16,17)	C15H22O3	9	-3027.421437945053	3-(2-tert-butylphenoxy)-2,2-dimethylpropanoic acid	CC(C)(C)C1=C(C=CC=C1)OCC(C)(C)C(=O)O	3.5769999	""	PubChem:(20986909)
OLRYGXKVEKUFGZ	InChI=1S/C15H24O4/c16-12(17)14(6-1-2-7-14)10-5-11-15(13(18)19)8-3-4-9-15/h1-11H2,(H,16,17)(H,18,19)	C15H24O4	10	-3027.5426658100537	1-[3-(1-carboxycyclopentyl)propyl]cyclopentane-1-carboxylic acid	C1CCC(C1)(CCCC2(CCCC2)C(=O)O)C(=O)O	3.15899992	""	PubChem:(19091025)
AIBOUCAVUPBNIW	InChI=1S/C15H24O4/c1-4-14(2,3)13(18)19-15-7-5-6-10(9-15)8-11(15)12(16)17/h10-11H,4-9H2,1-3H3,(H,16,17)	C15H24O4	11	-3028.7234950032416	""	CCC(C)(C)C(=O)OC12CCCC(CC1C(=O)O)C2	2.81100011	""	PubChem:(89772245)
GKKRJXYFULSFFO	InChI=1S/C15H24O4/c1-3-10-15(11-4-2,14(18)19)12-8-6-5-7-9-13(16)17/h3-4H,1-2,5-12H2,(H,16,17)(H,18,19)	C15H24O4	12	-3029.098220884765	""	C=CCC(CC=C)(CCCCCCC(=O)O)C(=O)O	3.75099993	""	PubChem:(53842970)
FXAKDSCGZPGYLY	InChI=1S/C15H24O4/c1-15(2,3)5-4-13(16)19-12-8-9-6-10(12)11(7-9)14(17)18/h9-12H,4-8H2,1-3H3,(H,17,18)	C15H24O4	13	-3029.679102601126	""	CC(C)(C)CCC(=O)OC1CC2CC1C(C2)C(=O)O	3.31100011	""	PubChem:(71134638)
OKASFZWVHMYDJN	InChI=1S/C15H24O4/c16-12(17)14(6-2-1-3-7-14)10-11-15(13(18)19)8-4-5-9-15/h1-11H2,(H,16,17)(H,18,19)	C15H24O4	14	-3030.289954193398	1-[2-(1-carboxycyclopentyl)ethyl]cyclohexane-1-carboxylic acid	C1CCC(CC1)(CCC2(CCCC2)C(=O)O)C(=O)O	3.15899992	""	PubChem:(19091043)
YXIFYFLSUNZNHW	InChI=1S/C15H22O3/c1-14(2,3)10-7-9(16)8-11(15(4,5)6)12(10)13(17)18/h7-8,16H,1-6H3,(H,17,18)	C15H22O3	15	-3030.2957982975595	Benzoic acid, 2,6-bis(1,1-dimethylethyl)-4-hydroxy-	CC(C)(C)C1=CC(=CC(=C1C(=O)O)C(C)(C)C)O	4.86499977	""	PubChem:(14324451 54714203)
BEONEJOLBLLPIG	InChI=1S/C15H24O4/c1-9-4-6-11-14(2,3)8-15(11,13(18)19)12(17)7-5-10(9)16/h10-12,16-17H,1,4-8H2,2-3H3,(H,18,19)	C15H24O4	16	-3030.773519615217	""	C=C1CCC2C(C)(C)CC2(C(CCC1O)O)C(=O)O	1.98300004	""	KEGG Mine
