Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Bt,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Cv,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps
SUCCINATE,218672804.8,137760768.3,84147608.79,124149011.6,270281587.3,224822704.3,257980359.1,387440104.6,293694031.4,218263500.8,271679106.5,441388066.5,267772387.8,232885170,338609844.2,290742414.5,464563865.1,268482685,370473053.6,696728034.6,348954086.5,262856568.8,350539818.1,481255993.6,506871343.1,539379525.7,830975714.6,2046945676,1521043613,1868255329,2073654593,3270305668,1536380825,1532449949,2507224234,2864677012,1484805710,1224106104,1602394642,1702121046,1300611833,543875410.1,1816826039,1300433092,1340358830,1081283909,2404056105,209559665.5,191674300.5,145528047.2,237717302.6,439405781.1,409806190.8,327641791.7,745317608.2,717953664.9,495640766,504293438.4,998652598.6,891371021,664981881,500911866.3,834843211,1022230440,236341436.1,589287299.1,765420304.4,928955337.7,663501748.6,599450810.5,1165341547
THYMINE,40047279.15,100489952.4,54261846.77,89146543.74,85928844.8,184179875,139321180.6,154703427.1,106868292.9,153296678.5,163810094.3,202985911.5,70948492.64,165795057.2,284914930.7,94024878.6,214267032.1,301467572.5,327518211.6,320849781.2,108870988.4,222462173.9,347890801.3,26839569.55,116732101.5,103422046.5,79225238.56,86005556.22,251243158.4,290825255.8,160384005.7,195774951.7,286254665.4,392305927.9,445005606.2,308442444,346852839.3,397171484,158227199,227838558.3,437684282.7,475150408.7,502439048.4,169572847.5,614489527.2,463036107.4,556364160.2,979314.3936,4309047.073,3382650.315,2525363.488,10801436.17,10626607.96,15275240.92,23681374.06,18165867.82,28230051.35,23680286.98,26440147.46,18239764.1,19617558.43,26945287.08,21902353.03,29231388.11,29958339.79,30271742.34,15729231.29,22961125.75,35617674.18,44774334.84,30793424.49
XANTHINE,851738.755,3063898.431,1334736.734,2001591.533,2341642.629,7914607.808,5755353.312,4682892.584,3001906.321,5549140.783,5089422.576,6779615.51,2231872.115,4062815.314,17450506.97,3462660.436,6045518.819,7930267.187,20318912.28,9718555.114,4579777.397,5046485.33,22034495.26,31945725.3,221649918.3,253781282.1,125274416.9,372099360.1,711472699.7,1076370657,442738332.2,697814063,924287900.8,1563266732,1374606832,956371796.4,1417648501,1626603892,520744282.2,827979529,1901751740,1908217059,1702655681,680292633.8,2141212238,1920055846,1471045192,11619766.75,35703845.26,21988030.61,20297640.84,140188024.7,160362976.4,201408280.5,373683699.2,145868477,349142993.9,273676214.8,284098776.3,159471908.3,207353447.7,264114850.4,285538089.8,181555956.1,58098041.56,253845702.7,172773642.8,114806207.3,310232085.6,419083551.5,328186403.8
"2,3-DIHYDROXYBENZOATE/2,5-DIHYDROXYBENZOATE",59326.07021,1176716.477,188355.2409,188511.3312,29935.10764,1070711.13,109510.587,336986.4882,66736.89229,842586.5121,599185.4014,79025.04108,36747.05004,1394923.675,2106496.737,56542.1493,468817.9784,1637315.354,428027.3044,1735820.849,48101.4019,1111067.442,554929.5337,34725400.12,364318480.1,192473500.6,141332619.3,180304313.9,2756653835,3462493635,2614317642,800937336.9,4540157449,4636031060,9652671440,1926217451,4990083282,5545884645,2343417079,1862265755,7009822682,6486434561,12234948116,1627866402,11759156731,7431437970,11051929630,13304.47854,155774.7493,25372.10731,25268.4027,286888.4402,1096197.909,173241.8986,260014.3976,7501475.628,2425784.789,638101.1244,178379.9268,55374300.78,1722467.54,530116.1822,106699.0255,44545109.58,1199485.109,199326.3564,74352.86437,1320630617,1832329.351,559608.1755,72162.9648
MYRISTIC ACID,17972562.38,40859955.66,51936397.93,41822070.93,15268360.65,41730056.93,40960546.47,20252264.34,18271427.99,43379838.09,55718346.86,22589368.89,12239005.37,46253924.44,67795244.07,10164115.27,28329494.15,41936468.44,55931450.07,25331687.18,16905702.75,30589518.15,44078490.52,9576383.191,51956009.22,50921715.59,28616957.04,13993144.26,34267279.09,49194344.38,23405346.98,26629173.61,40944291.62,59760969.4,54297101.04,38189311.51,33250877.91,56774291.92,18855507.62,27790658.67,43393277.05,75520480.85,65091629.12,24812343.03,56288101.5,61029611.32,39597380.12,11822413.66,43413308.07,44692796.47,16197516.23,22147503.65,32862749.44,47269201.01,43092915.04,27511232.32,38309103.41,65475509.97,22665173.28,22480441.19,39225966.52,64065811.1,16081622.53,31547139.79,38409401.46,55637656.59,12190570.81,33055288.14,27477078.41,48716578.85,18684435.46
4-HYDROXYBENZOATE,7073977.094,15703397.4,11266008.32,14797778.71,8476737.697,37537438.83,29622898.36,24396410.31,10575431.34,34702728.72,34695096.31,35732246.07,6650312.967,49581623.96,62153537.33,14739899.49,31421723.47,67776646.95,64497162.37,50182516.06,15203870.52,53485537.86,68203893.04,26081421.33,104038273.5,99191207.68,95723799.77,71040929.95,262763710.8,301900929.2,247306587.5,208326034,356208970.7,359749477.6,559015321.2,323060813.7,367928582,357302228.1,191159310.8,198167279.6,513506268.9,466812154.3,653118871.6,187901105.1,748691588.1,486434817.2,731505923.4,1747778.139,3613477.549,2556080.183,3056773.426,506239.0818,3909229.196,3079848.365,7839098.901,2877759.085,7809987.578,4976130.45,6333557.649,2402360.838,7516849.618,6022034.831,5074795.174,2724256.35,6418484.555,3811390.888,3965962.165,9653806.861,7254078.327,5488050.46,5287474.91
4-METHYL-2-OXOVALERIC ACID/3-METHYL-2-OXOVALERIC ACID,50303305.28,72188717.17,130604467.6,163204157.3,35398873.81,67686548.76,85427362.79,39485664.55,40982979.6,68080671.81,75575971.88,50409775.84,19879998.32,79108995.44,147924793.3,19319582.31,62895729.48,68336626.56,231275327.3,68252547.69,23791061.3,43153082.77,183277246.2,33884149.01,80397472.5,123608913,56065597.15,28335695.78,56116772.32,186046502.7,58372834.76,53928708.63,58486994.69,123553166.5,211477336,63955163.19,54370304.32,118761172.1,31789934.82,35162440.88,71437318.93,59004498.66,222874335.1,20582957.69,73891000.06,185520286.5,53296229.24,461018480,1118340299,912938322.8,720438005.9,751072104.2,43348324.66,1633020586,6782580331,1771757062,6547464245,5069726879,3844424454,1599155266,6919989646,5966790435,3376492566,2505689539,67889676.91,5535826373,3574387504,1994753017,8735022220,6098887538,4959172902
GLYCERALDEHYDE,52219767.41,54477475.7,52813801.67,93552255.92,151831148.8,429721792.6,514528448.8,558113417.5,212969413,480600598.4,502631566.9,813770510,193498087.4,973050343,1131264762,374252893.2,797081469.1,1085337578,1436144769,2047978202,347915873,1053999788,1607036673,498715300,50586803.12,71827931.88,46745586.88,33807404.31,50800436.69,76690790.73,94043037.61,72645457.83,60943408.49,249887273.8,163930407,91431918.37,51670996.28,304570149.6,49355351.34,34606560.73,63187662.25,47194938.42,121343104.7,30967779.12,72731206.13,106777868.3,103050211,26181987.76,68493354.59,72812372.45,64134999.17,59591360.55,85398957.72,83560197.59,283711888.9,121946814.1,169460393.2,172781493.4,147480703.6,121165729.7,281404466.9,262031650.1,106665461,289184780,176590856.7,171135546.8,144270037.6,78717800.47,245892300.7,210433111,193425438.7
3-Dehydroshikimic acid,277839.3809,1186338.36,972788.5009,782170.2431,1020937.72,3009051.038,1085768.163,353273.7431,297176.7043,2221407.803,961385.7719,3304322.052,1344617.796,3058583.282,2057370.818,222336.2706,1295258.192,5243757.502,1363838.159,2693905.89,83650.64453,4900734.487,1120614.394,692219.5566,17803708.79,4924622.781,689033.4851,1052890.982,18284984.5,7061174.471,2864601.551,165244.1522,12606021,7780992.297,5318894.613,625801.1464,3880013.305,8242364.602,413265.2905,169764.2518,2281407.529,3039403.951,880918.3727,137825.1821,1126347.867,2194197.767,139895.0825,256457.6639,1461007.271,439791.4087,37177.26837,187895.0837,785358.5984,242404.378,1007139.629,287879.7233,1998440.683,2372979.511,619832.3746,707585.9486,2800620.077,4843574.579,920198.7157,3551381.432,7000410.247,676486.2043,450174.3816,324046.8612,3635164.996,270739.335,867980.5058
SALICYLATE/3-HYDROXYBENZOATE,16854401.5,38590991.28,22701705.36,34492122.7,15864322.17,53131326.99,36383209.74,38532298.16,19469756.02,48169294.72,30845082,49988968.23,10861328.42,67563038.6,52898197.14,19434449.98,36616289.89,69548747.75,65137226.85,75639499.34,15860658.65,54595012.14,69662577.11,2638208.821,9475034.83,8779459.177,8494981.607,3931940.859,10719527.03,12337155.76,13025657.51,8300606.414,11884388.94,14007153.32,27186845.97,12752584.65,11328017.1,12555444.58,8701624.344,6294339.549,14860219.98,15415710.17,31092122.96,6256724.275,45958008.84,15373986.34,31014375.55,25890536.94,76571827.29,52991254.98,47512297.77,170068375.4,1162373213,505497576.1,2093915033,570861799.5,2781508867,1794395210,1567128850,354902624.5,2567306193,1590148972,1152703489,445123487.4,645578400.7,1035403474,1062193716,304676255.6,2144770084,1239119201,1214934279
ALPHA-KETOGLUTARIC ACID,2686542.629,451946.2789,6329747.174,7683367.187,5878222.653,1277093.604,29537346.18,7286695.955,12838243.94,507532.1483,34841524.87,3835446.872,7606105.537,3459042.667,9710395.382,5911684.045,4278033.438,7732667.421,9350161.584,9654031.844,4759011.747,8863131.228,6489437.02,1977070.018,16736009.45,11122277.91,4275223.136,23473200.78,45962753.77,32321044.07,10102365.12,20908860.33,34026738.28,38165063.58,55519806.44,16027965.65,60653669.03,25468431.3,4219537.682,17724545.1,46199863.48,20742198.9,35670822.38,17287930.59,48182491.88,41185520.24,5601750.964,19322049.54,36658048.79,19268493.84,10847946.13,28187260.71,107690169.1,60955846.44,185206666.8,22409108.45,164591640.1,69326105.07,103648676.4,18636062.24,137506623.5,54181295.03,57223244.56,15489132.7,35245385.8,61761972.34,44726373.31,21860430.15,111629865.7,46346258.6,71278396.77
BENZOATE,113927824.4,95761158.15,34862633.83,101175017.1,66099786.51,168820097.4,29967580.93,131171381.2,59235519.57,115444205.1,27636797.96,123474685.6,36567982.13,111321126.5,63613961.66,49604403.19,85110028.08,120476317.7,70947287.68,98559265.53,45042856.94,45812824.37,51424702.7,41949970.78,16925268.03,30077710.02,62106004.25,82270279.68,58586414.15,314480881.6,156018854,161886845.5,48381068.87,241746037.6,149505582.5,114411804.8,29574864.59,311181448.9,121498127.1,70192078.42,77621881.16,181862172.1,200294661.4,48006798.87,210627127.2,292298308.5,175397338.8,36042155.91,27092085.27,108242196.5,32821852.17,71948997.43,17364969.77,88897935.49,60295304.45,131583971.9,69818453.04,192195281.7,58754416.51,69271665.61,38337948.16,150259996.4,64755176.85,119322830.5,28362427.93,88676569.48,62296234.95,58085674.63,41926811.57,123638327.8,29697219.36
FUMARATE,3937966.377,8176077.85,3050414.195,5227666.764,8227233.042,16414646.53,12493333,11642676.63,10186878.36,14135103.03,11347252.8,14849436.11,6209437.212,15260968.55,17123279.91,6507144.821,18231038.72,19405957.31,12161726.17,19320910.69,7659765.528,13092373.88,13006980.89,3504831.3,10827797.55,6939335.088,8593647.84,17801386.02,31240690.93,18761210.2,15539311.49,34894038.08,27241838.6,22475765.92,41593266.88,34204486.82,25577680.19,18538213.5,13416783.01,21308349.51,22887006.01,9431643.456,29274377.56,11293055.2,23368075.63,13691044.83,44391314.35,483327.5214,897843.1624,500206.5822,167028.9413,1326671.484,1460579.961,1137718.717,2081206.065,1788172.796,2470436.965,1657711.846,2438711.104,2040623.028,2687978.09,1867631.147,1729081.376,2706589.522,4176032.327,2412586.712,2335096.978,3751183.232,6567843.675,1661028.093,5231761.896
2-Oxovaleric acid,15241798.09,4172286.579,28990843.96,42926426.34,13246455.76,5167690.404,39753368.77,36001188.97,11786366.59,4813705.044,38581816.3,47224190.2,6017516.832,32700041.65,54705013.92,12032436.13,20814423.92,55343179.21,45317556.31,46574625.39,22699993.93,35996301.72,47036543,4704800.859,20464990.47,21733921.9,14369048.58,10315371.6,38283608.39,33146575.45,23859702.62,14811439.99,38884906.45,34123201.66,55756980.1,13546603.28,32727349.8,29841105.69,7932814.939,8387903.766,34588780.6,25256525.37,39660387.43,21575653.41,38304744.51,19985236.56,12538303.42,165195546.1,327550035.8,153042201.9,139645650.1,121117017.8,1009442528,353426009.6,1612683824,349969064.9,3386837140,1512653266,1296951219,409509346.7,3960357462,1831471138,1168702020,534011929.8,775468004.1,1783199858,1498736677,914085329.2,3964692687,1620298227,1992508962
PYRUVATE,1908327.604,7848814.522,7206834.344,7701861.573,459807.2033,11958290.66,7049634.121,2731297.966,375309.8929,10820985.88,7385020.027,3998871.005,376656.5127,13440752.25,15489258.21,1438497.969,1304830.508,21993248.17,19582485.07,5730050.733,130163.554,12855566.49,14796957.92,2407942.009,23521674.55,12172498.27,8349589.847,4898138.133,30307914.71,26401091.11,6630897.771,2292897.22,20385605.28,18023793.51,39087649.32,2205938.16,18959589.06,13317572.41,1450890.545,3004214.045,19552895.82,6383387.29,25874053.47,246873.6962,18118373.95,6026845.065,2526491.372,46803031.59,84625331.08,32027124.46,23321972.15,12722033,375323265.5,85114294.71,543123391.5,17171529.85,1099542767,557316271,405141627.2,25488440.77,877450282.3,430721611.4,357806213.2,18480077.49,169143264.1,180677130.2,330133224.8,666073963,471622499.4,204741016.6,374813951.9
N-ACETYL-L-LEUCINE,303745.1477,617558.7489,846146.2925,455831.6321,3656119.798,1188703.572,2959435.977,144034.0732,1625782.812,165406.7535,2843552.114,964764.9685,1061053.204,6048298.801,3854266.137,231976.9831,2723738.675,238237.9968,2969911.712,205804.6097,1278905.007,2878017.775,3780452.039,3311468.69,19690914.9,15767788.31,15444106.99,9447985.485,58978805.07,80575997.38,72672666.59,26695705.37,93268817.81,103656566.6,296546094.8,35735391.45,114319646.8,100672374.4,47677734.68,32228961.77,162540847.2,179731627.2,331423786.8,32823862.65,185191614.1,172997859.5,157627556.1,885309.6476,2057782.521,2070353.768,1949896.393,1849682.281,5197432.202,4087784.596,17164521.65,4273487.471,11469897.49,12637881.48,7487739.447,3586629.422,20989400.64,11348295.67,8855625.072,4481677.634,8491917.956,10339730.03,18987306.41,18069281.3,12974529.05,21385055.47,14939898.71
BUTANAL,32328101.82,21045917.18,113822329.6,88112973.72,39824018.24,27390844.54,87424502.08,38877852.57,49291191.97,39755886.79,73574964.69,63739473.53,22856886.81,40501999.78,124652852.2,18733445.97,74092730.88,33188301.77,150169874.1,66888188.6,49975321.18,22387870.03,121702975,11581166.14,18076232.98,94745644.29,24962355.31,26561959.34,30587150.77,44733644.62,46956459.15,52288263.11,34175599.35,41665982.92,113299767,54134386.33,22143499.63,39045786.6,21637162.51,59422619.22,26540883.47,23738013.86,73508328.35,45483234.41,39271860.93,34718127.03,42423536.74,14568624.16,17768847.08,48528624.69,91754540.15,32928185.21,336041077.6,29657766.81,39337489.01,65079312.38,21170090.74,66083820.45,644365606.1,54640042.22,20289785.1,62674441.1,551169883.8,64805328.22,578783421.9,41809625.64,611300309.6,47686423.06,27894975.86,35285496.32,812360508.5
N-ACETYL-L-ALANINE,483035.4397,3879164.804,49423.07952,47278.07802,174912.2659,7046116.674,104585.7572,252941.3627,50249.33118,176489.9911,99280.44646,501245.882,164310.7841,388353.0196,807305.7469,57476.17474,254072.4719,878883.2865,674917.1893,221128.5247,91258.94147,501406.193,1113597.946,2098505.999,9108305.579,9352136.194,3253509.339,42400376.3,103052505.4,134157271.3,91751439.02,105212884.3,184446036.8,119554003.7,364636197.4,134086049.4,227836413.3,116555946.8,78599647.81,104444278.6,288777962.2,152539782.6,373070709.2,114829770.1,284419693.7,161344005.7,134384817.5,963697.2213,1256567.902,897152.3049,118966.6046,1235941.144,4841792.137,2291441.918,13666211.13,3405153.191,14807066.53,14455980.84,3854942.691,3862538.637,23303026.93,10873503.6,5940476.278,5422426.862,10213727.32,8230747.051,18588482.96,50447264.01,15032603.24,17862843.99,8107403.965
