"","Label","CYTOSINE","4-AMINOBUTANOATE/Y-Aminobutyric acid","valine/L-NORVALINE","5'-METHYLTHIOADENOSINE","D-Lactose/D-(+)-TREHALOSE/maltose","4-GUANIDINOBUTANOATE","CHOLINE","5-OXO-L-PROLINE","PYRIDOXAL","D-(+)-GLUCOSAMINE/D-(+)-GALACTOSAMINE","3-METHYLADENINE","DIETHANOLAMINE","UROCANATE","NALPHA-ACETYL-L-LYSINE","ALPHA-AMINOADIPATE","PIPECOLATE","ADENOSINE","ADENINE","N6-(DELTA2-ISOPENTENYL)-ADENINE","3-AMINOISOBUTANOATE","N-ACETYL-DL-GLUTAMIC ACID","Ectoine","DETHIOBIOTIN","2-HYDROXYPYRIDINE","THYMINE","(S)-NICOTINE","4-IMIDAZOLEACETIC ACID","2-aminoisobutyric acid/2-AMINO-2-METHYLPROPANOATE","L-TYROSINE","PYRIDOXINE","Isonicotinic acid/Niacin","L-CARNITINE","L-ALANINE/BETA-ALANINE","CREATINE","TRIGONELLINE","N-ACETYL-L-CYSTEINE","L-GLUTAMINE","ALPHA-KETOGLUTARIC ACID","L-TRYPTOPHAN","5,6-DIHYDROURACIL","4-PYRIDOXATE","GUANINE","N-ACETYL-DL-SERINE/O-ACETYL-L-SERINE","L-LYSINE","S-(5'-ADENOSYL)-L-HOMOCYSTEINE","CREATININE","L-GLUTAMIC ACID/N-METHYL-D-ASPARTIC ACID","L-HOMOCYSTEINE THIOLACTONE","XANTHINE","THYMIDINE","LEUCINE/NORLEUCINE","proline","D-PANTOTHENIC ACID","L-HISTIDINOL","L-ARGININE","RIBITOL/XYLITOL","Choline O-Sulfate","N-ACETYLPUTRESCINE","4-HYDROXY-2-QUINOLINECARBOXYLIC ACID","PHENETHYLAMINE","3',5'-CYCLIC AMP","D-GLUCONO-1,5-LACTONE","methionine","RIBOFLAVIN","ADENOSINE 5'-MONOPHOSPHATE","HOMOSERINE/L-ALLOTHREONINE/L-Threonine","LUMICHROME","GUANOSINE","OCTOPAMINE","PYRIDOXAMINE","5-METHYLCYTOSINE HYDROCLORIDE","L-PHENYLALANINE","GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE","D-PSICOSE","4-HYDROXY-L-PHENYLGLYCINE","2'-DEOXYGUANOSINE","L-ORNITHINE","SN-GLYCERO-3-PHOSPHOCHOLINE","L-SERINE","CITRULLINE","N-ACETYL-D-TRYPTOPHAN","INDOLE-3-ACETAMIDE","HYPOXANTHINE","GUANIDINOACETATE","INOSINE"
"1mem_Bt_12pt5hr-1","Bt",2.78641884061391,5.51877652714833,25.6223985210889,9.49243162851442,4.16175296895846,5.17868899093655,3.71240877527306,0.400518229455521,2.88806508290719,8.28495690130782,7.16975755559813,6.38722679620357,4.19836949399305,2.39990772948129,6.50758006914716,1.71034462596999,1.8576255642755,11.0258706311476,2.50180557902187,5.51877652714833,1.50828276624896,5.26919404295302,1.93092642429166,2.74201397454158,2.20794181372768,2.93526866460404,2.32346426838802,5.51877652714833,1.91890865423093,2.32512757372776,3.66285398763262,1.79844624822558,3.15105332286215,1.83665674590316,5.51849367520925,1.36746856541163,1.29192199753866,0.389577460637979,0.910778635916082,1.8625048728928,8.93583921310365,3.63553913512719,0.736631684714209,2.3332039486682,0.228260068127363,2.21710493898181,2.4121518852876,0.639744532535632,0.915137406660971,1.12337893645437,4.63044411505251,1.1488989471415,2.69171010272136,2.70490062552343,3.45682016350665,0.907069001268893,0.467941078572556,4.94583226933206,2.37725806344967,7.65913571244786,0.503662709621192,0.422154512599805,0.498919903879299,0.841130794915961,0.344666020603484,1.91288097509413,0.742599779112368,0.228260068127363,2.16789850124887,1.04720444636451,0.911193393661107,4.09278798117479,0.228260068127363,1.07216888919547,1.02844111817909,0.4902766626764,4.21291953190424,3.44638162363776,1.19117650310418,1.94383769808235,1.22570243081289,1.2023280470984,3.18291224412697,0.834296033877605,0.228260068127363
"1mem_Bt_12pt5hr-2","Bt",2.81510125721569,2.88773626345523,15.1858243459336,5.94395572732341,9.27534100535123,5.45443842320946,3.4607703546936,2.35467663189921,5.61783756905644,5.87536351103778,7.3949130985003,6.54685138658025,3.67343480814887,2.23268425295647,5.44751880297011,3.58642739321269,2.30681853522439,11.6735834458503,1.79247146436008,4.03494682117478,1.93164853734253,6.45099191336244,1.3850177916909,2.08469124874674,2.18655036338211,3.01442073496818,2.85327984829406,2.71182785355447,2.90897485398085,2.2027855759537,2.90751710819594,2.24372919778306,2.30180023115137,2.02891518988622,3.3510613388064,0.903373574474077,1.41301780035397,0.286453315660054,1.21584884208336,1.41101803155144,8.49181247058079,3.04993182537139,2.81735145965733,2.02329064912914,0.165732131989991,1.77016758787024,0.852212140971143,1.53436401349416,1.17382539622879,0.478265346570628,3.27257050283711,1.99937617974915,1.37095402071739,1.36448007224674,1.09626897708108,0.587626970315431,0.538507258600867,2.87418267550143,1.27925319411467,2.15818793986778,0.165732131989991,0.452894311590712,0.408435250319338,0.349792208991913,0.165732131989991,2.04040010213484,0.79764284367685,0.285861868858634,2.00282705352206,1.24491233605116,0.873776175524648,3.12830628122134,0.411939830035672,0.450745895151116,1.83313602016908,0.460840903139333,1.16351632879859,0.451739077352403,0.548537408121024,2.744908906968,2.87284271727863,0.722488888761045,2.78739566974407,0.926299215464725,0.165732131989991
"1mem_Bt_12pt5hr-3","Bt",2.51830976230893,2.52781785690159,20.5521135432783,7.11578272135599,6.56874880857447,3.69698768597223,3.17926075905981,1.94531458709941,3.36333354595008,6.79478288700789,5.66439833134007,4.94396620333124,2.74038226132609,2.42412681180759,5.72233475698507,3.00341022760339,1.15661637429859,8.79937793936212,1.65854992017319,3.63297042594019,2.07036602054711,4.96906948940963,1.81280729273799,1.69775814381702,2.18657913777482,2.94818000782968,1.82274340931615,2.10392098003485,1.7923368873287,1.82790624603405,6.2013525117135,1.70556060449484,2.09681512450553,1.57796718273472,4.58859344135634,1.11189050599465,0.979384938088092,0.580706281978369,0.813399448086759,1.01239092179791,6.68137028642937,3.44292568691137,2.11854371983388,0.928593500367583,0.148558811668959,1.70017751369579,1.01946785986495,0.473570400187278,0.772407607788214,0.593608198190816,2.85313157284413,1.16140893488795,1.99461540885942,1.2380555262962,2.04937629502215,0.916617663157801,0.49131714668871,3.10379604288715,3.88704668272658,6.69918145764102,0.342005148957948,0.41846658608417,0.354149910098627,0.265611068916025,0.148558811668959,1.68366141168259,0.744450044316288,0.253503051009133,1.71692513244834,1.23549120387942,0.645914038663278,2.60547879597083,0.148558811668959,0.453013285492007,1.72305517658412,0.767104667947368,2.2882912335123,0.8895916675558,0.377436899267353,2.20017816967938,0.703417859662136,1.19908749119953,2.4246290474492,0.857505064861186,0.148558811668959
"1mem_Bt_12pt5hr-4","Bt",2.37638129004456,3.5341501053032,20.2198961419057,6.20927898191743,5.45680001176619,3.61823787275286,2.96879560270696,2.19891863706285,4.42661611277096,5.32873078935592,5.69360770637456,5.44812848063306,3.54339302448376,2.36001110574911,5.54826500728362,3.35922844898395,1.1492441258535,8.55729361446706,1.70683990826722,3.71866892566531,1.86665523546545,5.09437281900803,1.66340082488718,1.61282035644264,1.69264860399997,2.11514952008921,2.08271115204252,2.47924712593504,2.99942275447468,1.85564242158095,5.22041602438248,0.835753415630052,2.36266297549358,1.59743657625854,3.91654695425463,1.24088012165297,1.28944465326317,0.301366963714438,0.818243281446859,0.975281893731259,6.36559526777466,3.37580135873695,2.29443956142764,1.97547270556878,0.216019774934631,1.85585926275995,0.760217537187886,0.942404640084012,0.944931759797619,0.832727465387274,3.19938988597459,2.91566644718456,1.51869984347818,1.87776030065823,1.56080862613315,1.1026109322547,0.308431831941155,2.90369250195319,2.25370438330422,4.66124824338332,0.135920007215078,1.00659611081431,0.546654611564152,0.423389628601237,0.314401207656579,1.38328122880664,0.983213122272132,0.286982518956447,1.75254272005264,1.13902136189013,0.654895530669126,2.29796250983166,0.211302821480235,0.965836474879047,1.87708321445159,0.458029461907888,0.958512000901685,0.63975183537529,0.916544593272994,2.27765026630259,2.37033679955684,0.829825216195941,2.53749638301137,0.932138111890984,0.135920007215078
"1mem_Bt_25hr-1","Bt",2.43995634169341,3.12294792606919,29.4194186661298,7.78569552605613,2.20548665775996,4.30155219343254,3.1866806511542,1.7906658961843,2.6671326397135,6.03963653339848,7.20561393873523,5.11536345771648,9.19300476697141,2.70753063178574,6.95548079154235,4.08376866886223,1.72234610637972,11.2631490017161,1.65418681052449,5.13297061180642,1.51724744612711,5.98708884054559,1.8774930391681,2.23629192485661,1.86334769025564,3.17154058126592,2.07117553656413,5.13297061180642,2.06982485329552,3.83923944541077,4.19794894486393,1.77600093196058,3.58028883175571,1.961552619831,4.19925013544215,1.25361882321231,1.37167933782457,0.402445634836895,1.51275257674724,1.55552421969582,9.53490409535704,3.56342451673439,1.68713347239417,3.26724006632155,0.181117116928713,2.67430663721934,2.03138235634837,0.475718708228814,0.656258745075834,0.961420438691572,3.63239168453728,3.08200893604518,3.68290560507432,3.41872582882104,3.61312808989111,0.356495674381091,0.432449137151279,4.65683940817632,1.33407709652613,5.71289585377165,0.181117116928713,0.319648818423296,0.873479784739976,0.476641715618529,0.235013448938233,1.26955376027476,0.688934244501931,0.276034228871979,1.42994471576721,0.584037961768819,0.793378842527231,3.38440097844788,0.340630520949732,1.38750580272721,2.01874001718879,0.343781429042628,2.52601797270248,2.36344811817055,2.2767002219902,5.62603070628358,1.47071185339243,1.26997775875161,2.49571838845581,0.659883983045949,0.181117116928713
"1mem_Bt_25hr-2","Bt",3.42132214142697,3.56819480128825,13.9405641944192,6.51845459407464,9.10337976044683,6.33628990784026,2.80136126812407,2.02254475044524,5.23304803608464,5.45112622890747,8.88177124214164,7.41458126144766,3.17620984526116,2.99099741341233,4.58574252550321,4.42851918380849,2.17647709719588,14.3899985852328,1.92375271311125,5.43725926471909,2.19534935249953,8.19271685951452,1.57328597520346,2.28820356023201,1.8625246181403,2.84811405311219,3.27795490346001,2.810421579754,3.20137317308691,5.05236023872233,3.95761449867234,2.20598037367521,3.0908163726728,2.00584175,3.41602479710474,0.951230264634132,1.83471261824222,0.153381682425774,1.31505301203024,1.50771606876979,8.77449002175475,3.77339440798306,1.73866950285374,2.26569390074892,0.153381682425774,1.58104645891489,1.04831028582856,1.40747512600967,1.41148604259367,0.766138886471408,3.62860109510297,2.01803899328671,2.88767578343708,0.87433750126969,3.38281499181259,0.411894460802232,0.793509066567496,6.0645773795801,1.56801741887238,2.18689616459055,0.153381682425774,0.276569227022747,0.153381682425774,0.321010680950779,0.153381682425774,3.4272289599255,1.07712016337454,0.153381682425774,1.9789338444272,1.11947691776634,1.06151347857663,1.94350987910823,0.242009080327014,0.421269623407936,0.837178251442354,0.40112768430469,0.887417861825761,0.400099592286504,0.68908568948018,4.25772957569298,2.7409352023459,0.767275602581106,2.51653236466593,1.0008018959524,0.153381682425774
"1mem_Bt_25hr-3","Bt",3.10345783357192,3.02547149582652,15.0003387559602,7.25054543203195,7.76122607994849,4.22976137470887,2.76305301263019,1.75230992332172,3.4814869218271,6.24981145365744,7.21527156964024,5.29728086534132,3.4907377529693,2.82182271312716,5.31027938881194,3.85727364668225,1.73558035986995,10.7795621490361,1.73438743533271,4.69322881561531,2.58042272569595,6.50362479140547,1.61688134510348,1.85865688748323,2.08502392535494,2.62706349682239,2.5321783291358,2.3252592222894,2.886635085175,4.46131542753141,8.14185619733277,1.67041998365826,3.04129835536444,1.68541327743439,4.83213142606859,1.10809594862029,1.8536164357186,0.748584681089185,1.05876054406611,1.26202356423957,7.70776280752128,4.16832189860324,1.39085132408958,2.23898358472669,0.14387881481898,1.80021714724227,1.16436194283065,0.776769755454142,1.25835298522771,0.711836888313238,3.39946391268626,2.76042096636159,3.29492656902879,2.27704593471694,2.92493422078768,0.808075836913233,0.281393556056579,3.14591673477431,3.30923308025554,6.86353191655377,0.352945184532356,0.253097425015287,0.804372826966807,0.300671063925432,0.276675996675837,2.56302602137416,1.39172093182206,0.448684987893616,2.54037096289329,0.839214974660172,0.774750347441117,2.50216410587457,0.23108940067469,1.11056326237123,1.41553252468079,0.643238221177324,1.61260519068473,0.494999498352322,0.444759582444279,3.85023300610171,0.932449402928149,1.06099285217281,2.50805236051412,0.765281277440754,0.367498447699179
"1mem_Bt_25hr-4","Bt",3.30317551711088,3.73739363640715,36.2723532266497,9.46396376479628,3.10257397906292,4.40928507272305,3.48765462704512,1.99142023598886,3.39305533674234,6.67033410343301,8.97622907212692,7.24221605651158,3.97687539769559,1.85490079690609,8.06681565413619,4.61347068092618,1.6254738938935,13.494879256086,2.41450090415764,5.05535636071719,1.57022582075725,4.83377393229627,1.93533480582077,2.5395817135223,2.32183661049169,3.06025513536387,2.26454765815591,2.26730418198458,2.39765069662903,5.02890637322002,5.55461748350148,1.88486987826595,3.20888952014074,1.44701384596978,4.43633286110197,1.50745443699628,0.730421782056174,1.09367684200062,1.59394895975263,1.69120484438992,10.0763821891334,4.34541619978259,2.17555512152337,2.23800052596407,0.331209478605101,2.0732461011919,1.93857580796727,0.519684591576634,0.946935274403857,1.55429147165305,5.00089286244861,2.99305696330772,2.99552842810713,2.22674524732415,3.24993170396227,0.727664986419436,0.679567016991945,6.36535310756368,2.30370678433112,4.67915113118005,0.301262042930288,1.18379287461249,1.0744081204213,0.805878315750837,0.182476563618006,1.50304549653642,0.52486690121028,0.300736406320678,1.46721812806294,0.811230693941792,1.01371668108679,3.45733927851705,0.283741895128607,1.02554730591445,1.67400407628721,0.489169641850273,1.73252622664922,1.84992393578039,0.423568943657563,2.99171728741595,0.685783694559941,1.22335393616279,2.97057294907607,0.709388054189458,0.182476563618006
"1mem_Bt_30hr-1","Bt",2.55990024939565,3.2159963559633,28.6791432132809,7.76945491990704,3.24998487369081,4.43141492369222,3.15374201833595,1.58964467384922,2.75114197103939,5.81855350463178,7.55302404967205,5.43968404879012,3.46402037275897,1.9258093488652,4.93936390712385,4.11743187552943,2.01444033153483,11.7484087393854,2.36398341232868,5.21347420093174,1.6414356357855,6.21133875699483,1.35314602695612,2.0067242027077,1.89681802877361,2.90706715249219,2.50605089675511,5.34283558029929,1.97747326330302,4.41575226646461,4.32710230362777,1.50804312120723,3.38029927330512,1.61939694849003,3.93490260990796,1.08675939155165,2.03212815845039,0.440356547092812,1.40401948910663,1.53096055927204,9.82733393556197,3.615653456528,1.37757708829451,2.77706545135987,0.17682724408278,1.143345371001,2.01317955503021,0.512367472998121,0.76935091134074,0.938861974082647,3.67343048696689,2.93424919392739,3.76126859094274,3.47403812376199,2.81565722974739,0.315392091511227,0.451525793022288,4.70568919993624,1.72987515471094,4.86948762161887,0.290261828182513,0.305413330062005,0.869469437368322,0.500620136923201,0.296913465839706,2.80638867223997,0.737306957818614,0.17682724408278,2.07127974151948,1.01226574475118,0.581005532733431,2.20405088105914,0.371228133377256,0.444288225862653,1.50490682707153,0.351204198538159,2.49437418937137,2.04384486502494,0.897539932611068,4.25872523713494,1.61011225824513,1.39219323748178,2.48369563646187,0.734017414745103,0.268090709062627
"1mem_Bt_30hr-2","Bt",3.28222003517045,3.27038102492225,14.7242996159122,6.59281510151324,7.51657195886836,6.25876932029983,3.98426445274071,1.92121639169395,5.23998812033697,5.20918510761519,9.02477271404886,5.87491613323706,3.50321585367402,2.58622293890226,4.51971928886676,4.49502998226969,2.58839280859328,15.3270014604703,2.12756626485154,4.81728095143257,2.01005944633037,7.67438679918818,1.5600423138749,2.32312544659321,1.95709253062767,2.6994192767379,3.13906717755437,2.62362146395941,3.23577408609661,5.46975290618831,4.32151530076048,2.27568327815528,2.84432327565726,2.01023686237909,3.56298418345164,0.857655381163703,1.48859653750203,0.377677068417642,1.40715138131891,1.48550375380112,1.70667088707838,3.74353403234225,1.54285443923268,2.19195767813194,0.162558253687912,1.59708024376384,0.894562701737192,0.678212558125646,1.59362061369845,0.791079788714165,4.01146132699902,2.35220938407732,3.80828800992968,1.07103000716831,1.50583178792198,0.500758499208906,0.363627930519263,6.34182204170198,1.69929944293563,2.83742550921795,0.162558253687912,0.216308588551052,0.162558253687912,0.316610619434942,0.162558253687912,1.73030962557057,1.04485839577665,0.504335380291463,2.0927429685589,1.17747050990384,1.05479041864987,2.16386883099754,0.276830510634918,0.343342564156411,1.30220389259201,0.361613610964175,1.36359320946839,0.341373115975344,0.411275760404179,3.1058421345288,2.86916720657834,0.717779731685736,2.64481148949007,1.06038092340413,0.280739849410046
