Sample,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4
Time,12.5,12.5,12.5,12.5,25,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,45,45,45,45
L-Dihydroorotic acid,1.237608314,1.57689403,1.062519829,0.61511475,1.240710494,1.425175705,2.637220651,0.854575947,0.72507787,1.709844506,1.972687148,1.773117726,0.70458679,3.571651779,1.158092343,2.2296472,0.821308054,3.419752114,1.223479297,3.196496399,0.698742075,4.190844128,1.503000429,1.555864421
2-HYDROXYPYRIDINE,2.33798735,1.875350026,1.820112153,2.075199172,2.017289599,2.279444946,2.362925692,2.254446988,2.046192234,2.347857021,2.198405175,2.50340137,1.837393949,2.463034997,2.328541076,2.213638847,1.944138301,2.566282704,2.034259343,2.44595746,1.750245471,1.842843676,2.143358655,2.676261743
2-OXOADIPATE,3.191314229,2.459183411,2.659602055,2.061311308,1.325989842,2.579494107,1.992343201,2.224519724,1.167154761,2.641986359,2.063375803,2.808653064,2.564967056,1.826779872,3.718097264,1.966968374,1.712268054,2.975528887,1.749047838,2.336391747,1.621563318,2.989129517,4.112166583,2.936285458
2-Oxovaleric acid,9.632200019,10.68500942,11.8759251,8.314566503,9.29020729,14.18466959,12.8953289,10.13001101,8.846775548,13.28303269,13.87984946,16.0514945,8.28847428,14.19896336,13.56555807,9.178295075,7.896545813,13.93182411,12.85042891,14.17827698,10.72733133,12.99763201,12.43782574,8.779887301
Lumazine,1.672789068,0.598982503,0.606844271,0.628814163,0.992024536,1.859281853,1.415329506,1.445778465,1.511742586,2.108784861,2.632907624,1.628391363,2.020512317,2.992889114,2.82730639,2.059173592,2.17528215,3.015758059,2.751967568,2.821654384,1.955990716,3.45031946,3.0554984,2.608585551
2'-DEOXYGUANOSINE,1.480731106,1.56047551,1.507426031,1.298871267,1.759405995,2.408434385,2.014974384,1.723468364,1.579196701,2.18936817,2.341480257,2.159519798,1.574364127,2.023977381,1.772785306,1.472215468,1.645222636,2.020562751,1.909391865,1.850850871,1.431287845,1.877456419,1.645475803,1.77150721
Hydroxyphenyllactic acid,1.158520841,1.252296006,2.334433416,1.736319351,3.406485659,3.560815555,2.825393081,3.411684046,3.297097232,3.561707551,4.704957422,4.547423541,4.315468578,3.823550235,4.906529317,4.705379496,3.835708053,4.094775487,4.384292468,5.039046348,4.019664252,4.351102134,5.414781602,5.683328177
3-AMINOISOBUTANOATE,5.351044544,3.304898865,3.399074877,3.906282555,4.152761384,3.383193554,3.164986569,3.895693069,3.661780966,3.216824447,3.440400309,3.166879904,3.772564997,3.399275907,3.54981298,4.924133015,4.15736617,3.31582349,3.425006418,3.250358971,3.941992107,3.613998265,3.506744529,3.98432573
3-dehydroshikimate,5.085024294,10.20018122,7.240119576,3.020719387,4.341684361,11.08782768,7.701556674,4.997387003,1.976793393,9.124930475,8.479687093,7.334258083,2.974015594,6.975319377,8.834526986,3.427908481,2.151962806,5.628990586,6.344380626,3.985501971,1.990428434,4.011784173,5.955706576,1.961899843
