"ID","MZ","RT","1mem_Cv_12pt5hr-2","1mem_Cv_25hr-2","1mem_Bt_12pt5hr-2","1mem_Cv_35hr-2","1mem_Cv_40hr-2","1mem_Cv_30hr-2","1mem_Bt_30hr-2","1mem_Bt_25hr-2","1mem_Ps_12pt5hr-2","1mem_Bt_35hr-2","1mem_Bt_45hr-2","1mem_Bt_40hr-2","1mem_Ps_40hr-2","1mem_Ps_25hr-2","1mem_Bt_30hr-3","1mem_Cv_45hr-2","1mem_Ps_30hr-2","1mem_Bt_25hr-3","1mem_Ps_35hr-2","1mem_Bt_12pt5hr-3","1mem_Ps_45hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_25hr-3","1mem_Cv_30hr-3","1mem_Cv_45hr-3","1mem_Bt_35hr-3","1mem_Cv_40hr-3","1mem_Bt_40hr-3","1mem_Cv_35hr-3","1mem_Ps_40hr-3","1mem_Ps_25hr-3","1mem_Ps_12pt5hr-3","1mem_Ps_30hr-3","1mem_Ps_45hr-3","1mem_Bt_45hr-3","1mem_Bt_12pt5hr-4","1mem_Ps_35hr-3","1mem_Bt_25hr-4","ExControl-ExControl_3","ExControl-ExControl_4","ExControl-ExControl_2","1mem_Bt_30hr-4","1mem_Cv_30hr-4","1mem_Cv_35hr-4","1mem_Cv_12pt5hr-4","1mem_Cv_45hr-4","1mem_Ps_25hr-4","1mem_Cv_40hr-4","1mem_Cv_25hr-4","1mem_Bt_35hr-4","1mem_Ps_45hr-4","1mem_Ps_30hr-4","1mem_Ps_35hr-4","1mem_Bt_40hr-4","1mem_Ps_40hr-4","1mem_Cv_30hr-1","1mem_Cv_35hr-1"
1,215.0323248,0.336010655,1884318074,1422716839,2019211972,773563873.4,378285066.3,1030348455,2270179204,1814080678,1308885972,1877039988,1280566769,1686240856,384745962.6,1542349360,575174789.7,264008034.9,1583839698,816026652.2,1361847473,1172740815,1534952566,1287064141,773009065.6,256279595.9,53212880.5,1217836809,30449423.84,1430682561,313117499.8,306992068.3,645435953.6,1418664793,575689952.8,702917760.8,1228739435,1791639959,1386535999,1559428044,762626.2476,5960050.772,3155373.227,1233557180,1083241050,702837954,1288289447,286722177.9,1234067816,432870518.4,1465769422,1095413286,635152695.5,1415210862,1046736338,1345178848,991200505.8,890323889,685757958.7
2,217.0291693,0.33606146,634516101.1,479179450.5,685917802.8,250462437.6,127261718.9,348491399.4,770869836.4,607627565.1,448955743.3,630436873,435769199.2,616010085.6,126340960.5,520256687.5,184014861.5,86894415.93,485370300.9,275736091.5,462549717.8,408405555.2,500792502.5,435770325.2,262422791.2,87663828.46,17609070.19,405720889.7,10734046.96,483569773.3,106100347.6,104845116.1,218766403.5,482826562.3,196509697.4,247826838,418110949.9,602496853.3,456812255.9,523216545.5,255859.886,2055622.334,1052577.598,413799356.5,363633498.8,235881914.7,433057081.6,93223967.19,438116093.6,153657199.9,556792725.8,363835062.3,211992887.6,474859882.8,351324513,401978924.2,332567773,272802205.2,232452732.3
3,376.100727,0.34510363,271772842.3,526193998.1,280346848,119165789.7,150213074.1,180709755.1,363258452.3,305228071,259651119.6,357752046.4,292887293.2,314042506.7,17142864.54,603823265.4,298942477.6,55329898.85,201622412.3,338334840,467435715.5,400205369.4,309766230.3,466875724.3,589080169.1,219027850.7,36830517.57,510039303.6,16238081.39,596788719.5,253830264.6,163615255.3,384841269.9,606287152.8,276995265.9,283538919.5,437976454.7,370721894.3,628789200.2,412040702.7,125993.3592,1108854.261,467613.4932,263483975,125648749.1,157133072.2,291404363.3,68583062.35,285788705.9,110941489.9,328163353.2,181253334.7,107415932,356856154.4,246253983.6,264642238.6,127997588.1,120145805.6,36612706.21
4,487.2190999,3.026907178,137457228.1,812782567.5,289000.7528,1016005946,895197545,864547153.1,24513.69633,129992.8829,50130.41532,21900.75132,133478.1902,256857.2311,24994.39017,416901.8508,69540.40515,1985896119,318130.018,83428.33435,354895.3915,80594.6544,414032.1913,95684830.08,488383054.6,211418965.3,261680183.6,110467.3814,403933264.2,135658.1428,392407859,180638.8652,118979.4178,121843.8984,43268.32364,77191.45462,179728.2173,52551.87421,76519.83198,27826.99046,18902.3569,2737417.105,0,81730.70671,1204625962,1358335582,121449994.7,1314876206,131811.5762,1544586930,1113310137,352242.5498,183875.2772,143396.2141,32546.61573,219785.6846,243090.2451,215239440.9,457102962.7
5,447.1335938,5.260853689,139985465.8,46713244.03,148537244.1,132781767.2,91515607.66,44433752.21,145246020.8,164785779.5,125516048.9,166500606.6,154009173.9,175470105.6,67275437.72,193934322.4,41447008.02,149711434.6,193677366.5,63719477.86,164103130.2,95291868.15,135316689.3,104951431.6,82523151.85,23082223.09,16763436.69,111093076.9,19843965.26,138000979.3,38948908.56,19525409.2,45359361.29,143540087.6,51585127.77,65919614.57,163890367.4,168134309,133737717.1,138179050.8,63489850.44,58142070.29,43765146.1,144532328.4,133158779,118036398.4,140927355.9,92740239.68,131031966.9,110646004.5,142906463.7,131557174.2,69415469.97,145254241.6,107053085.6,151381907.2,133130103,125123378,158100963.1
6,378.09744,0.345001121,85682556.14,165173174.6,85332018.38,36714544.37,45800324.43,54742344.44,112775127.7,93045617.96,81765482.11,112044263.4,93808174.9,97679654.28,5065969.915,188500540.7,92776294.42,17309412.49,62560773.79,106939586.9,142866085.8,123648500,94468990.26,148559209.7,184668545.2,68118947.74,11286797.36,156173626,4920459.031,187011066.5,77859037.37,50197206.62,119048650.6,191922246.4,88002591.43,87722759.37,133830238.7,115212260.6,196751103.4,129940928.4,29468.46399,320284.866,140491.307,82888437.24,39681720.02,48670803.07,90259101.32,19961694.9,91340339.83,34736597.36,100969818.8,56527947.76,32590487.03,109923458.2,76100437.27,83770676.17,38216513.65,34677458.17,10464965.69
7,197.8076689,10.45594712,124704432.6,242808424,118874038.9,250397701.3,192940801.2,238771532.7,170460624.2,115515101,131852108.9,161778373.1,142292071.3,104427117.6,99559094.33,189396889.4,165839805.7,79459529.91,112792784,372533524.3,159158579.3,199731012.2,133824825.7,177552289.5,145201487.5,149188242.9,257256551.3,134257585.6,134880332.9,271463581.8,182622473.5,329103118.3,162608102.7,196107575.2,151183305,244737659.2,306096376.8,774773367.2,151841257.9,263901094.3,379825314.4,284815660.2,37753564.05,688669908.8,242917774.8,216055015.3,1368014486,572771357,492504869,454512789.5,447697515.8,162072557.1,237443478.9,467862988,295441263.3,579214129.1,493724933.4,304763746.5,376627846.1
8,195.8108211,10.45733369,103907771.1,201052307.5,97997323.58,210694908.4,159726764.1,158368675.5,141090911.8,95290185.39,109037083.8,176771758.5,117911120,89603484.72,81978712.74,172850796.5,137288285.1,65158828,92689857.53,263041289.2,168429539.9,165338171.1,110670519.8,185097442.5,142113848.9,123448827.1,213383278.2,141676622.9,111496515.2,224971435,151185425.5,153976449.5,134230583.4,230041753.5,124854478.6,152603412.6,128568078.2,645133055.5,147119722.9,473532932.4,315071742.4,134043058.4,31003657.3,943540846.4,353935769.4,179874433.4,885065934.7,566769927.4,567140576.5,377140320.1,371707608,261888828.8,167012734.7,389464569.1,245812878.8,456701413.9,499885062.8,253572206.1,313305142.1
9,426.9670562,5.191131245,61675935.99,229245909.3,60471586.52,171816705.8,136601906.6,215053815.3,233763059.2,271989571.3,46084861.01,252732769.9,242812634.1,296792612.9,105798614.8,267331867.5,18730993.49,254936347.5,259144092.4,25843825.11,276756515.9,32553037.13,237972123.8,39587884.09,127952333.1,37813152,26174025.69,44273030.5,29547706.11,58336474.64,60646967.2,8927369.592,76693498.94,58965332.58,91327157.51,114181191.9,67920743.3,73269398.98,235597864.8,59669639.41,13515316.28,14551676.08,22295551.4,64790281.71,65418395.04,65934581.9,58474902.88,43864766.69,68004263.8,56468533.75,70501478.24,68925736.73,50069590.76,80220878.61,69538335.85,69644516.29,83204729.92,254838611.9,318806083.3
10,529.175227,3.274579021,53450818.21,572410402.6,132676.5906,927652517.8,860113315.9,742309863.1,0,5680.082024,4861.243364,0,61133.49179,225718.3143,0,297709.1563,53387.9232,1315071450,73399.11442,59322.43514,210002.9577,73372.84165,380717.5317,46115147.67,457947479.8,192091459.5,204203175.7,63229.85623,330516698.4,161122.4123,433126188.2,214442.8236,70556.80395,80601.21342,5513.332567,4126.965071,156444.6946,21085.6106,14006.52899,13495.5304,23037.09835,5761530.347,0,67246.22123,908631160.6,913474555.1,78939703.75,901995403.3,65184.28947,966110010.2,614993792.8,221217.1394,235396.7192,45032.48538,20232.22698,137586.2066,72102.12993,740406871.6,1397449502
