"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-1","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-1","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-1","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-1","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-1","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_1","ExControl-ExControl_2","ExControl-ExControl_3","ID","MZ","RT"
"5",1074633.829,392795.2834,294744.4168,417745.5864,391222.8119,151992.2574,184072.9058,242150.0522,255333.992,110779.2176,336202.6468,1458163.047,55535.45723,942064.1402,483738.3615,764773.5073,151671.5934,444628.3888,610536.6705,431306755.2,312501955.7,368145508.1,309608109.6,1903490952,1210513794,2834301117,623729915.9,2084197301,556884096.7,3027727633,1038062341,2464695327,963825584.4,3582004474,2358924307,2098874631,978485425.6,3877229429,1601066302,4986780184,657432274.8,3218153681,142874.4184,440878.377,1612466.517,451071.0309,439394.8162,1344058.837,116585.919,551739.8687,1477789.755,258881.0904,81207.2561,88008.59433,639576.9911,772512.2873,1729476.548,235774.0504,736438.3998,108030.5095,8002456.913,1034.700843,5,489.2338148,3.028949588
"82",86457.0647,27832.86097,18266.94844,26020.17443,22019.77717,4562.08426,5922.254853,7992.852294,5460.309591,5253.567936,11413.3157,123450.0999,0,91146.87089,20899.7219,54793.44088,12731.80887,14067.37763,44887.34873,29390775.44,24612303.87,31497690.8,32259639.96,167856349.8,84675580.22,285161954.3,55480223.75,156773067,31916950.07,252345573.1,84628056.28,183316027.2,51045374.94,294344241.3,214061111.5,124682173.9,60611919.59,296348257.2,128781919.4,421360965.2,31912366.88,256653838.1,1293.979863,40836.21213,192299.4043,31192.19893,64656.8355,90186.38643,7342.669959,63384.12715,156138.4108,12803.72569,1634.722218,1019.863532,64728.9804,105104.6224,245136.8678,11539.02125,87451.09708,4004.437281,701725.201,0,83,505.2286321,2.983973886
"116",77166028.5,51880218.97,96266435.44,139925415.6,62244306.08,125775708.8,160456623.3,55603585.72,160726928.4,158631527,140684197.8,179453534.7,78111642.91,216833734.4,207064219.7,221729592.9,6505712.03,218740083.1,245262313.5,29712281.3,22482088.59,28699858.47,15152676.69,29394810.95,17145643.67,39403023.89,41279700.81,36242755.42,6381722.391,42033077.65,54416414.11,33071488.99,10261349.9,41822200.98,35642759.19,23824789.34,6276608.164,39023745.99,19760328.82,46568043.54,5516595.235,36154755.09,28562299.02,27312894.18,21666966.6,7282652.081,41543054.49,20927282.8,7742514.457,51057757.95,18601055.27,15927352.7,41386308.63,9081208.735,3383981.7,49045962.09,12802327.12,7740860.158,15168168.88,1339985.065,1348625.34,1621128.546,119,343.1358726,3.445077386
"136",2792.628863,1814.040487,0,0,0,0,0,1207.474405,0,0,2396.66579,13244.03596,0,11730.57289,0,3668.805273,0,0,2335.542195,10085248.22,10267877.88,10411015.65,7818252.421,145890554.1,86404118.6,161413549.5,20073709.03,165039710.1,32473877.04,159708369.5,24881994.08,191260874.4,63477056.39,202228451.5,108874054.8,172537709.5,69311140.01,211039599.5,79442619.92,378030804.2,38037160.36,179964076.4,5159.50943,1324.960697,19069.60443,1917.017001,0,9627.12235,0,6770.966238,5126.744178,0,0,1580.519115,4370.424958,7623.120766,25733.84666,0,5319.597118,0,118276.3488,0,139,511.2153018,3.033658302
"191",27390.61284,11878.74123,1630.103045,9464.289566,10254.36487,30593.07911,13666.66704,6113.326246,32285.08445,11035.12137,13196.98032,45162.03966,0,58044.94463,11561.4522,67174.24877,2569.219986,46537.03534,8335.365256,9059540.288,7802639.425,6526461.94,7783392.266,41139483.13,31717709.73,44826473.97,11072391.74,46213688.61,16392987.85,45726879.05,16590836.47,54277417.45,24227039.94,54129063.29,40756851.67,49477345.61,26646415.32,58292794.65,34559748.93,100831690,17479790.98,51823886.44,3082.998061,9202.760321,45023.95021,12714.31287,5503.710455,20092.20904,1570.065829,2480.26785,16553.29656,0,1391.73725,2384.786961,19292.30999,8086.947903,53521.7316,3827.453665,14946.07262,915.3204785,235857.2597,0,195,353.2176848,2.990209194
"258",20048.45972,2324.793318,2137.381771,4900.414327,4561.965164,2000.007734,2245.800781,1335.194282,0,0,3263.735414,19987.59117,0,2756.040765,6178.488134,1778.54888,1074.06296,1489.65676,1867.099923,5783178.194,5018216.49,5356378.208,6573061.441,21696712.75,18762905.32,26425802.39,8479978.362,23739797.1,11457419.47,31544804.28,12540140.37,27474245.27,15656703.58,33315447.22,27332328.03,25656399.86,17615311.67,36269414.83,25224218.27,49967288.93,12145391.65,31777895.25,2331.494372,4210.883377,9353.862077,5187.445687,1430.499438,3067.914595,0,2259.656963,9273.06854,0,0,0,12231.21764,4440.330254,4602.023,949.2404768,6178.56112,680.6284674,225922.9734,0,266,264.0937178,3.030868035
"269",3961145.33,1907758.499,2909896.479,10926710.21,3719424.012,10967567.13,15567538.37,3415860.35,16078325.96,16164874.27,11139900.89,17218703.61,2878202.185,24928913.26,17987668.4,22294532.94,331667.842,26336645.4,22155506.63,5259169.927,3309237.312,2617389.005,6633239.252,22422807.91,11549831.73,19589604.96,19907479.35,28505383.87,3916808.633,19981143.7,16866470.27,25527783.23,6274866.473,18210390.2,12275675.6,18353315,3830124.547,15367271.23,6794368.825,29888805.11,2473794.577,11694273.92,3595355.218,4842679.838,18293687.62,10603506.81,11915598.82,22449882.41,12841761.41,17742846.89,22643228.49,46100103.55,14577762.16,11564985.4,5352856.733,19105681.7,30596880.14,25451753.31,9869726.023,2198.4489,41656.22154,0,277,343.1291701,2.89908564
"276",4560280.918,5633264.522,3450581.663,6436948.146,4511197.629,7423527.433,7821375.667,2958977.533,11767494.63,10092995.15,8854545.562,11798650.86,3947155.807,14952855.52,18256675.14,13615350.62,348810.2747,19845941.8,17859906.55,5654588.084,4640367.669,4277084.542,6580785.101,13826832.15,9306434.45,10279514.13,24923430.87,15790522.72,3189445.238,10202938.61,31424256.63,20452672.22,6497259.207,15787232.3,15952399.29,10749704.14,5362130.502,10620199.31,8644790.74,16592830.59,2939606.654,12232603.57,7483502.437,4758562.135,11437933.78,2785801.471,5824467.661,7618586.853,3073652.78,7997868.603,8312508.521,6251726.348,3915332.08,2926803.654,430224.1468,2084684.144,1403476.598,876731.5431,935649.6762,668.1729592,66276.99488,0,285,298.0963829,2.355687418
"291",19556.1879,3202.499219,6840.86908,3226.275274,1691.000503,2274.446499,2069.136193,1808.319878,2574.416494,1458.586837,1758.411766,14989.904,2529.763345,7309.064649,9670.77088,10392.21691,1019.638758,2113.955653,4114.49105,4586362.484,3869628.847,4284441.846,4782362.282,21936124.08,16498523.86,27498423.16,7186932.056,23659551.74,8297359.332,29308874.62,10163743.28,28719657.54,12379522.56,34857994.89,25989073.25,26098731.84,13698218.96,36697051.21,21254703.14,48873729.68,9132003.484,32786162.53,2157.086375,4946.461371,15914.07306,12969.26414,16543.13302,11887.41666,1786.496396,3195.320424,37925.19678,9094.342513,4773.478824,1720.982865,8796.35822,18465.07123,42840.32989,7969.422335,15656.66913,2039.925335,154485.8632,0,302,245.1203942,3.024886897
"350",4829.964079,1886.242674,0,0,0,0,0,0,0,0,1570.830276,16762.20563,0,2919.136713,5126.3341,5639.88768,0,0,13208.64912,3469585.279,3128195.603,3998058.584,5251069.568,72535450,56727904.15,112083316.7,23953559.91,110528824,18799270.42,150156644.6,44202462.21,111263307.2,39614620.3,159755182.3,33839590.07,99715011.26,25925172.19,173736170.9,24657645.07,192812416.1,19117454.09,134649583.8,0,0,46598.83597,2587.620775,43703.27784,12088.07551,1474.330886,84774.29298,69680.56966,20460.6523,45174.90591,14608.11338,1513.988545,132882.5421,94422.49543,3001.368751,17309.6467,0,335712.376,0,370,395.2282417,2.470704923
