Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,Ps_6
1.53833996/125.0358794,40047279.15,100489952.4,54261846.77,89146543.74,85928844.8,184179875,139321180.6,154703427.1,106868292.9,153296678.5,163810094.3,202985911.5,70948492.64,165795057.2,284914930.7,94024878.6,214267032.1,301467572.5,327518211.6,320849781.2,108870988.4,222462173.9,347890801.3,26839569.55,116732101.5,103422046.5,79225238.56,86005556.22,251243158.4,290825255.8,160384005.7,195774951.7,286254665.4,392305927.9,445005606.2,308442444,346852839.3,397171484,158227199,227838558.3,437684282.7,475150408.7,502439048.4,169572847.5,614489527.2,463036107.4,556364160.2,979314.3936,4309047.073,3382650.315,2525363.488,10801436.17,10626607.96,15275240.92,23681374.06,18165867.82,28230051.35,23680286.98,26440147.46,18239764.1,19617558.43,26945287.08,21902353.03,29231388.11,29958339.79,30271742.34,15729231.29,22961125.75,35617674.18,44774334.84,30793424.49
4.74570444/151.0264288,851738.755,3063898.431,1334736.734,2001591.533,2341642.629,7914607.808,5755353.312,4682892.584,3001906.321,5549140.783,5089422.576,6779615.51,2231872.115,4062815.314,17450506.97,3462660.436,6045518.819,7930267.187,20318912.28,9718555.114,4579777.397,5046485.33,22034495.26,31945725.3,221649918.3,253781282.1,125274416.9,372099360.1,711472699.7,1076370657,442738332.2,697814063,924287900.8,1563266732,1374606832,956371796.4,1417648501,1626603892,520744282.2,827979529,1901751740,1908217059,1702655681,680292633.8,2141212238,1920055846,1471045192,11619766.75,35703845.26,21988030.61,20297640.84,140188024.7,160362976.4,201408280.5,373683699.2,145868477,349142993.9,273676214.8,284098776.3,159471908.3,207353447.7,264114850.4,285538089.8,181555956.1,58098041.56,253845702.7,172773642.8,114806207.3,310232085.6,419083551.5,328186403.8
3.72183759/153.0196332,59326.07021,1176716.477,188355.2409,188511.3312,29935.10764,1070711.13,109510.587,336986.4882,66736.89229,842586.5121,599185.4014,79025.04108,36747.05004,1394923.675,2106496.737,56542.1493,468817.9784,1637315.354,428027.3044,1735820.849,48101.4019,1111067.442,554929.5337,34725400.12,364318480.1,192473500.6,141332619.3,180304313.9,2756653835,3462493635,2614317642,800937336.9,4540157449,4636031060,9652671440,1926217451,4990083282,5545884645,2343417079,1862265755,7009822682,6486434561,12234948116,1627866402,11759156731,7431437970,11051929630,13304.47854,155774.7493,25372.10731,25268.4027,286888.4402,1096197.909,173241.8986,260014.3976,7501475.628,2425784.789,638101.1244,178379.9268,55374300.78,1722467.54,530116.1822,106699.0255,44545109.58,1199485.109,199326.3564,74352.86437,1320630617,1832329.351,559608.1755,72162.9648
1.191657778/299.132726,169681.9322,4566380.139,4008507.372,2877343.345,4978234.825,11467870.83,15629546.98,5157037.367,5452867.017,27824833.55,20494523.53,8878917.404,3296954.598,38388965.1,19660106.18,4263711.166,14100822.53,39657534.91,29115613.28,8140728.449,5933147.889,25887842.67,29974392.62,8805126.982,61757813.87,55449353.12,21057507.1,13808770.77,96695233.88,48804048,40059397.95,25420990.6,134131282.8,62220514.53,140031522.3,22594401.83,100740712.7,82490069.05,10951893.11,34603060.3,112076137.2,61219065.45,167326543.5,22197869.22,162215277.2,22973538.89,86070434.61,214019.6422,7977471.796,4344671.945,1399092.583,755475.6213,349955.6312,4258496.145,11356284.52,4942409.008,3527614.825,12653710.21,3841488.517,3254706.168,7405055.646,18848105.03,3670908.676,3935983.328,4501621.83,12243019.73,4778219.165,3074530.259,9250955.78,17604804.26,6206491.348
5.706451002/137.0246625,7073977.094,15703397.4,11266008.32,14797778.71,8476737.697,37537438.83,29622898.36,24396410.31,10575431.34,34702728.72,34695096.31,35732246.07,6650312.967,49581623.96,62153537.33,14739899.49,31421723.47,67776646.95,64497162.37,50182516.06,15203870.52,53485537.86,68203893.04,26081421.33,104038273.5,99191207.68,95723799.77,71040929.95,262763710.8,301900929.2,247306587.5,208326034,356208970.7,359749477.6,559015321.2,323060813.7,367928582,357302228.1,191159310.8,198167279.6,513506268.9,466812154.3,653118871.6,187901105.1,748691588.1,486434817.2,731505923.4,1747778.139,3613477.549,2556080.183,3056773.426,506239.0818,3909229.196,3079848.365,7839098.901,2877759.085,7809987.578,4976130.45,6333557.649,2402360.838,7516849.618,6022034.831,5074795.174,2724256.35,6418484.555,3811390.888,3965962.165,9653806.861,7254078.327,5488050.46,5287474.91
1.001321875/214.1087741,348729.5148,80347.22931,312771.7909,416787.2916,347709.7546,794349.7062,475326.3475,770561.263,410793.4463,641545.3574,730469.634,938952.2246,262858.9583,1101160.093,1286395.334,402622.3384,1172811.991,1327814.277,1210351.976,1509543.685,500557.1014,1117899.661,1663514.792,12352197.47,42640761.06,36442001.27,27155640.91,4172080.132,33405196.7,33831882.89,12437744.6,6688613.607,32215641.44,24571872.14,41559013.79,8926933.607,26524467,19270326.88,7063934.786,5744564.398,30536243.54,33754316.45,35980673.05,5242859.466,45036439.38,21144944.47,15622225.26,11138.7103,31242.75883,9881.910522,59356.36021,15245.71901,61043.28438,36045.31767,120794.1879,15595.35314,122592.8133,43768.72224,25205.46618,13412.38087,72682.89499,62813.88164,11448.19581,76932.44258,74314.8546,23119.93861,67795.77922,51133.28798,117668.5489,96511.3897,136353.7344
2.506335449/133.0509199,8068287.111,24961615.25,16664320.71,34491346.49,23954184.37,80637053.89,94089547.56,107482179.4,31067294.7,95161964.65,121197742.1,145129764.9,8395575.475,111742125.5,234354486.2,58314047.2,106795982,186206379.2,291890157,211499586.8,79483488.08,133012108,320686889.8,33020858.5,196449264.7,122421819.5,123181819.3,165635795.5,538313455.7,634862731.4,575556924.9,394113157.7,667378286.4,730463354.2,1752830797,432005853.6,642771778.4,655769448.8,419199196.6,369922084.6,807765429.7,1000592305,1633676550,306787084.6,1173463025,889110443.1,1095869819,37126189.53,110909099.5,119880008.7,87779528.44,221078066.2,440072275.3,306354361.5,1197512720,545070667.4,1011647883,689678526.1,550254920.4,425119259,1007416054,664323223.4,405763537.8,541498305.3,567711446.9,693594816.5,662394144.1,402046898,1169926787,980443697.8,555540431.7
0.91051253/299.1327818,169681.9322,1697603.48,2133041.298,2877343.345,2825367.23,4704277.914,7462396.079,4117572.797,3200160.674,12383830.1,10147623.09,6876668.127,2267735.857,17947031.09,10356477.85,4263711.166,7002427.409,22176163.86,16865066.86,3464526.664,3946198.813,16025456.18,17661049.76,4220909.993,30445374.58,26406421.73,7657418.485,10743762.96,47941590.16,31200835.94,29870364.2,20309540.44,67381191.22,33617797.39,86994095.59,18943312.09,61819817.6,51557327.53,9454911.44,21060370.54,67734587.38,42955385.94,104004119.8,12950048.05,83322888.75,15674300.11,58316869.74,214019.6422,3732936.626,2213141.065,998812.1811,1240954.206,349955.6312,2517219.654,6270124.358,3438550.656,1842912.308,8278455.515,2109430.735,2548021.647,4235281.379,10012240.23,2095110.56,2908510.913,2311440.635,7149216.313,3595546.017,2416778.311,4720434.576,12768499.52,4609891.504
1.732388476/147.0665852,3364144.01,9543118.354,7628778.306,9434826.733,7429318.613,24944972.99,28278374.94,27081611.79,8512400.297,32048028.17,36252268.06,39529235.91,5273574.289,44360836.74,69643079.99,14953107.01,26178550,65537920.58,78895934.75,65272726.89,15989566.25,43038142.48,100952472.1,18524225.04,90218487.34,70632064.79,68016695.25,44079406.58,240969175.6,289901594.5,218610633,91924936.99,311377188.4,327467026.4,615005735.9,121915645.4,324890543.2,308246348.1,138438330.3,75748528.6,438209912.1,505846608.6,619015392.2,59842444.84,620901143.2,456702870.5,538932585.5,18837037.99,74546902.51,54934524.97,35302938.49,40528149.65,116136800,88276103.75,280967243.4,100443372.2,314116395.4,200711893,198426655.4,69382884.1,292332166.8,212316619.4,141117570.3,84568654.42,198370683.5,222822486.8,155475485.9,110778027.5,335618116.2,289240673.8,230512647.7
