Sample,PC1,PC2,Label,Name,Strain
1mem_Bt_12pt5hr-2,-23.288,-34.957,12.5 h,R2,Bt
1mem_Bt_12pt5hr-3,-23.592,-33.419,12.5 h,R3,Bt
1mem_Bt_12pt5hr-4,-18.066,-33.201,12.5 h,R4,Bt
1mem_Bt_25hr-2,-33.045,-53.933,25 h,R2,Bt
1mem_Bt_25hr-3,-29.494,-42.959,25 h,R3,Bt
1mem_Bt_25hr-4,-17.436,-47.832,25 h,R4,Bt
1mem_Bt_30hr-2,-33.698,-57.176,30 h,R2,Bt
1mem_Bt_30hr-3,-30.459,-45.264,30 h,R3,Bt
1mem_Bt_30hr-4,-21.121,-55.018,30 h,R4,Bt
1mem_Bt_35hr-2,-35.035,-60.539,35 h,R2,Bt
1mem_Bt_35hr-3,-33.106,-55.429,35 h,R3,Bt
1mem_Bt_35hr-4,-22.094,-55.874,35 h,R4,Bt
1mem_Bt_40hr-1,-30.861,-51.434,40 h,R1,Bt
1mem_Bt_40hr-2,-36.2,-62.807,40 h,R2,Bt
1mem_Bt_40hr-3,-35.653,-61.889,40 h,R3,Bt
1mem_Bt_40hr-4,-23.498,-63.723,40 h,R4,Bt
1mem_Bt_45hr-1,-29.659,-42.691,45 h,R1,Bt
1mem_Bt_45hr-2,-32.305,-64.182,45 h,R2,Bt
1mem_Bt_45hr-3,-36.208,-67.893,45 h,R3,Bt
1mem_Cv_12pt5hr-2,-24.444,22.641,12.5 h,R2,Cv
1mem_Cv_12pt5hr-3,-19.39,23.46,12.5 h,R3,Cv
1mem_Cv_12pt5hr-4,-10.602,21.649,12.5 h,R4,Cv
1mem_Cv_25hr-1,-23.596,25.721,25 h,R1,Cv
1mem_Cv_25hr-2,-26.073,44.805,25 h,R2,Cv
1mem_Cv_25hr-3,-27.578,43.422,25 h,R3,Cv
1mem_Cv_25hr-4,-7.1301,47.124,25 h,R4,Cv
1mem_Cv_30hr-1,-23.719,26.868,30 h,R1,Cv
1mem_Cv_30hr-2,-33.065,47.362,30 h,R2,Cv
1mem_Cv_30hr-3,-32.438,46.284,30 h,R3,Cv
1mem_Cv_30hr-4,-16.345,49.127,30 h,R4,Cv
1mem_Cv_35hr-1,-25.48,32.025,35 h,R1,Cv
1mem_Cv_35hr-2,-34.838,54.154,35 h,R2,Cv
1mem_Cv_35hr-3,-35.058,53.446,35 h,R3,Cv
1mem_Cv_35hr-4,-18.085,52.106,35 h,R4,Cv
1mem_Cv_40hr-1,-30.671,42.31,40 h,R1,Cv
1mem_Cv_40hr-2,-34.759,57.339,40 h,R2,Cv
1mem_Cv_40hr-3,-38.504,62.802,40 h,R3,Cv
1mem_Cv_40hr-4,-13.21,56.546,40 h,R4,Cv
1mem_Cv_45hr-1,-30.958,42.784,45 h,R1,Cv
1mem_Cv_45hr-2,-38.48,62.048,45 h,R2,Cv
1mem_Cv_45hr-3,-28.402,58.559,45 h,R3,Cv
1mem_Cv_45hr-4,-24.216,59.668,45 h,R4,Cv
1mem_Ps_12pt5hr-2,14.264,0.93156,12.5 h,R2,Ps
1mem_Ps_12pt5hr-3,10.824,1.5336,12.5 h,R3,Ps
1mem_Ps_25hr-2,65.094,5.1164,25 h,R2,Ps
1mem_Ps_25hr-3,61.071,4.9645,25 h,R3,Ps
1mem_Ps_25hr-4,44.578,-17.857,25 h,R4,Ps
1mem_Ps_30hr-2,71.893,4.4102,30 h,R2,Ps
1mem_Ps_30hr-3,71.41,4.62,30 h,R3,Ps
1mem_Ps_30hr-4,58.598,-21.226,30 h,R4,Ps
1mem_Ps_35hr-2,79.624,5.947,35 h,R2,Ps
1mem_Ps_35hr-3,82.13,4.8405,35 h,R3,Ps
1mem_Ps_35hr-4,51.261,-22.705,35 h,R4,Ps
1mem_Ps_40hr-2,104.75,4.9978,40 h,R2,Ps
1mem_Ps_40hr-3,85.505,5.725,40 h,R3,Ps
1mem_Ps_40hr-4,64.609,-24.596,40 h,R4,Ps
1mem_Ps_45hr-2,96.447,6.5742,45 h,R2,Ps
1mem_Ps_45hr-3,96.917,5.74,45 h,R3,Ps
1mem_Ps_45hr-4,70.296,-12.354,45 h,R4,Ps
