GNPSLinkout_Cluster,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14411"",""main.cluster index_upperinput"":""14411""}",Spectral Match to N-Acetyl-L-glutamic acid from NIST14,0.999422,0.7201,0.7201,0,CCMSLIB00003138157,10381.2288,144,14411,210,144,190.0706,1,190.0706,10381.2288,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2370"",""main.cluster index_upperinput"":""2370""}",.gamma.-Dodecalactone,0.998163,7.8271,7.8271,0,CCMSLIB00003666430,2221.197909,147,2370,188,147,181.1584,1,181.1584,2221.197909,"InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-11-9-10-12(13)14-11/h11H,2-10H2,1H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""30887"",""main.cluster index_upperinput"":""30887""}",16-Hydroxyhexadecanoic acid,0.996093,8.4868,8.4868,0,CCMSLIB00003527394,1261.862454,147,30887,188,147,219.2102,1,219.2102,1261.862454,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""74"",""main.cluster index_upperinput"":""74""}","Spectral Match to .beta.-D-Glucopyranose, 1,6-anhydro- from NIST14",0.995721,0.3341,0.3341,0,CCMSLIB00003138077,77703.35186,147,74,383,147,145.0492,1,145.0492,77703.35186,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24473"",""main.cluster index_upperinput"":""24473""}",Oleic acid,0.99483,7.9515,7.9515,0,CCMSLIB00003440663,5232.354143,147,24473,188,147,265.2521,1,265.2521,5232.354143,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""285"",""main.cluster index_upperinput"":""285""}",5'-METHYLTHIOADENOSINE,0.994055,2.3557,2.3557,0,CCMSLIB00000577895,55666.19126,146,285,96,146,298.0964,1,298.0964,55666.19126,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""736"",""main.cluster index_upperinput"":""736""}",Dioctyl phthalate,0.99397,8.4106,8.4106,0,CCMSLIB00003270966,8628.232907,147,736,1273,147,391.2832,1,391.2832,8628.232907,"InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""334"",""main.cluster index_upperinput"":""334""}",Methyl trans-vaccenate,0.993336,7.4745,7.4745,0,CCMSLIB00003566154,13416.99416,147,334,188,147,247.2416,1,247.2416,13416.99416,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h8-9H,3-7,10-18H2,1-2H3/b9-8+"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9486"",""main.cluster index_upperinput"":""9486""}",5'-S-Methyl-5'-thioadenosine,0.992782,2.5951,2.5951,0,CCMSLIB00003458571,3759.187522,143,9486,96,143,298.0964,1,298.0964,3759.187522,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1031"",""main.cluster index_upperinput"":""1031""}",Linoleoylglycine,0.992361,7.0364,7.0364,0,CCMSLIB00003483837,3963.870572,147,1031,188,147,245.226,1,245.226,3963.870572,"InChI=1S/C20H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h6-7,9-10H,2-5,8,11-18H2,1H3,(H,21,22)(H,23,24)/b7-6-,10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""488"",""main.cluster index_upperinput"":""488""}",N-.alpha.-Acetyl-L-ornithine,0.991569,0.3448,0.3448,0,CCMSLIB00003470322,14719.28277,147,488,104,147,175.1073,1,175.1073,14719.28277,"InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24349"",""main.cluster index_upperinput"":""24349""}",Spectral Match to N-Acetyl-L-glutamic acid from NIST14,0.990881,0.6222,0.6222,0,CCMSLIB00003138157,19535.23197,146,24349,210,146,190.0706,1,190.0706,19535.23197,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1902"",""main.cluster index_upperinput"":""1902""}",N-Capryloyl-DL-homoserine lactone,0.990659,4.6064,4.6064,0,CCMSLIB00003459286,9405.56812,147,1902,164,147,228.1591,1,228.1591,9405.56812,"InChI=1S/C12H21NO3/c1-2-3-4-5-6-7-11(14)13-10-8-9-16-12(10)15/h10H,2-9H2,1H3,(H,13,14)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""169"",""main.cluster index_upperinput"":""169""}",N-Hexanoyl-DL-homoserine lactone,0.990441,3.5575,3.5575,0,CCMSLIB00003460589,32825.71295,146,169,164,146,200.1279,1,200.1279,32825.71295,"InChI=1S/C10H17NO3/c1-2-3-4-5-9(12)11-8-6-7-14-10(8)13/h8H,2-7H2,1H3,(H,11,12)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4019"",""main.cluster index_upperinput"":""4019""}",N-Lauroylsarcosine,0.989622,5.9923,5.9923,0,CCMSLIB00003446792,1785.268149,145,4019,-1,145,272.2215,1,272.2215,1785.268149,"InChI=1S/C15H29NO3/c1-3-4-5-6-7-8-9-10-11-12-14(17)16(2)13-15(18)19/h3-13H2,1-2H3,(H,18,19)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9382"",""main.cluster index_upperinput"":""9382""}",Spectral Match to Decaethylene glycol from NIST14,0.989083,7.3122,7.3122,0,CCMSLIB00003136855,1837.151126,87,9382,30,87,459.2791,1,459.2791,1837.151126,N/A
