rowID,rowMZ,rowRT,molecule,cos
25465,385.1639494,6.684470883,"(1R,3R,4R,4aS,5'S,8aR)-5'-(furan-3-yl)-1-hydroxy-8,8a-bis(hydroxymethyl)-3-methylspiro[1,2,3,4a,5,6-hexahydronaphthalene-4,3'-oxolane]-2'-one as [M+Na]+ (385.162) C20H26O6 cos=0.758",0.758
9926,252.231966,4.136387226,"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide as [M+H]+ (252.232) C16H29NO cos=0.908",0.908
31179,252.2319704,4.081141064,"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide as [M+H]+ (252.232) C16H29NO cos=0.908",0.908
55026,791.4074612,7.880969547,"(2S,3R,4R,5R,6S)-2-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[[7-[2-hydroxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyethyl]-1,1,4a,7-tetramethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthren-2-yl]oxy]oxan-3-yl]oxy-6-methyloxane-3,4,5-triol as [M-H]- (791.407) C38H64O17 cos=0.785",0.785
4487,311.1256959,6.65078982,"(3,6,9-trimethylidene-2-oxo-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-8-yl) acetate as [M+Na]+ (311.125) C17H20O4 cos=0.882",0.882
19858,279.1119003,2.728372134,"(3E)-3-benzylidene-4-methyl-1H-1,4-benzodiazepine-2,5-dione as [M+H]+ (279.113) C17H14N2O2 cos=0.860",0.86
1271,307.1511319,3.724639069,"(4E,6E)-2-(hydroxymethyl)-3-(3-methoxy-3-oxopropyl)deca-4,6-dienoic acid as [M+Na]+ (307.152) C15H24O5 cos=0.747",0.747
30162,245.0779405,3.495836124,"(7R,8R)-7,8-dihydroxy-3,5,7-trimethyl-8H-isochromen-6-one as [M+Na]+ (245.078) C12H14O4 cos=0.883",0.883
401,335.1249573,6.568691661,"(E)-1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)hept-4-en-3-one as [M+Na]+ (335.125) C19H20O4 cos=0.700",0.7
73131,402.2997966,7.383763489,(Z)-N-hexadec-9-enoyl-L-phenylalanine  as [M+H]+ (402.301) C25H39NO3 cos=0.911,0.911
30493,375.2138551,6.643706829,"[(1R,2S,3S,4R,4aS)-2,3-dihydroxy-3,4a,8,8-tetramethyl-4-[(E)-3-oxobut-1-enyl]-2,4,5,6,7,8a-hexahydro-1H-naphthalen-1-yl] acetate as [M+Na]+ (375.214) C20H32O5 cos=0.715",0.715
