rowID,rowMZ,rowRT,molecule,cos
5344,252.2324487,1.292020014,"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide as [M+H]+ (252.232) C16H29NO cos=0.935",0.935
63112,483.1838309,17.23221628,"(2R,3S,4S,5R,6R)-2-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[4-(4-hydroxyphenyl)butan-2-yloxy]oxane-3,4,5-triol as [M+Na]+ (483.184) C21H32O11 cos=0.748",0.748
2551,351.141049,11.11709652,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxy-2-methyl-5-propan-2-ylphenoxy)oxane-3,4,5-triol as [M+Na]+ (351.141) C16H24O7 cos=0.746",0.746
11248,351.1409157,10.80368765,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxy-2-methyl-5-propan-2-ylphenoxy)oxane-3,4,5-triol as [M+Na]+ (351.141) C16H24O7 cos=0.746",0.746
36434,351.1411285,11.13327353,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxy-2-methyl-5-propan-2-ylphenoxy)oxane-3,4,5-triol as [M+Na]+ (351.141) C16H24O7 cos=0.759",0.759
20276,428.2440573,3.624487417,"(3R,7R,8R,8aS)-3,4'-dihydroxy-7'-(2-hydroxyethyl)-4,4,7,8a-tetramethylspiro[2,3,4a,5,6,7-hexahydro-1H-naphthalene-8,2'-3,8-dihydrofuro[2,3-e]isoindole]-6'-one as [M-H]- (428.244) C25H35NO5 cos=0.725",0.725
23859,289.1401806,16.29693288,"(4aR,5S)-9,9a-dihydroxy-3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-2-one as [M+Na]+ (289.141) C15H22O4 cos=0.734",0.734
39617,289.1402159,16.26698951,"(4aR,5S)-9,9a-dihydroxy-3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-2-one as [M+Na]+ (289.141) C15H22O4 cos=0.736",0.736
7001,289.1399027,9.748695063,"(4aR,5S)-9,9a-dihydroxy-3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-2-one as [M+Na]+ (289.141) C15H22O4 cos=0.745",0.745
20100,287.1240668,4.965814223,"(9E)-11a-hydroxy-3,6,10-trimethyl-6,7,8,11-tetrahydro-4H-cyclodeca[b]furan-2,5-dione as [M+Na]+ (287.125) C15H20O4 cos=0.708",0.708
1789,287.1241501,8.111421188,"(9E)-11a-hydroxy-3,6,10-trimethyl-6,7,8,11-tetrahydro-4H-cyclodeca[b]furan-2,5-dione as [M+Na]+ (287.125) C15H20O4 cos=0.822",0.822
10967,323.1455169,9.756715228,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol as [M+Na]+ (323.146) C15H24O6 cos=0.879",0.879
450,323.1454072,10.9753471,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol as [M+Na]+ (323.146) C15H24O6 cos=0.881",0.881
241,323.1468226,0.874146247,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol as [M+Na]+ (323.146) C15H24O6 cos=0.902",0.902
707,111.0556667,6.371013888,1-Acetylimidazole as [M+H]+ (111.056) C5H6N2O cos=0.903,0.903
695,111.055652,1.433789563,1-Acetylimidazole as [M+H]+ (111.056) C5H6N2O cos=0.910,0.91
3708,111.05568,5.15572352,1-Acetylimidazole as [M+H]+ (111.056) C5H6N2O cos=0.916,0.916
2216,111.0556375,1.1285132,1-Acetylimidazole as [M+H]+ (111.056) C5H6N2O cos=0.947,0.947
27513,137.0710227,2.030842565,1-Methylnicotinamide as [M]+ (137.071) C7H9N2O+ cos=0.728,0.728
6827,454.2939412,6.371553301,1-palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine as [M+H]+ (454.293) C21H44NO7P cos=0.940,0.94
36536,365.0995905,0.966161335,"1,17,19-trihydroxy-7-methyl-3-oxapentacyclo[9.8.0.0²,⁴.0⁵,¹⁰.0¹³,¹⁸]nonadeca-5(10),13,15,17-tetraene-9,12-dione as [M+Na]+ (365.1) C19H18O6 cos=0.775",0.775
7585,289.1398404,6.590899973,"1,4-dihydroxy-6,6,9a-trimethyl-4,5,5a,7,8,9-hexahydro-1H-benzo[e][2]benzofuran-3-one as [M+Na]+ (289.141) C15H22O4 cos=0.737",0.737
44519,289.1397999,6.631114426,"1,4-dihydroxy-6,6,9a-trimethyl-4,5,5a,7,8,9-hexahydro-1H-benzo[e][2]benzofuran-3-one as [M+Na]+ (289.141) C15H22O4 cos=0.737",0.737
5140,289.1398471,6.811472717,"1,4-dihydroxy-6,6,9a-trimethyl-4,5,5a,7,8,9-hexahydro-1H-benzo[e][2]benzofuran-3-one as [M+Na]+ (289.141) C15H22O4 cos=0.765",0.765
6968,289.139856,6.937442694,"1,4-dihydroxy-6,6,9a-trimethyl-4,5,5a,7,8,9-hexahydro-1H-benzo[e][2]benzofuran-3-one as [M+Na]+ (289.141) C15H22O4 cos=0.765",0.765
8292,273.1450034,5.384612019,"2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]prop-2-enoic acid as [M+Na]+ (273.146) C15H22O3 cos=0.706",0.706
9040,273.1450434,5.770784959,"2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]prop-2-enoic acid as [M+Na]+ (273.146) C15H22O3 cos=0.706",0.706
65034,273.1450514,5.531750077,"2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]prop-2-enoic acid as [M+Na]+ (273.146) C15H22O3 cos=0.706",0.706
21787,357.0985636,2.15223041,2-[(3Z)-6-fluoro-2-methyl-3-[(4-methylsulfinylphenyl)methylidene]inden-1-yl]acetic acid as [M+H]+ (357.098) C20H17FO3S cos=0.737,0.737
