Sample,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-pseudoSample,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6
5'-METHYLTHIOADENOSINE,4560280.918,5633264.522,3450581.663,6436948.146,4511197.629,7423527.433,7821375.667,2958977.533,11767494.63,10092995.15,8854545.562,11798650.86,3947155.807,14952855.52,18256675.14,13615350.62,348810.2747,19845941.8,17859906.55,5654588.084,4640367.669,4277084.542,6580785.101,13826832.15,9306434.45,10279514.13,24923430.87,15790522.72,3189445.238,10202938.61,31424256.63,20452672.22,6497259.207,15787232.3,15952399.29,10749704.14,5362130.502,10620199.31,8644790.74,16592830.59,2939606.654,12232603.57,7483502.437,4758562.135,6121032.286,11437933.78,2785801.471,5824467.661,7618586.853,3073652.78,7997868.603,8312508.521,6251726.348,3915332.08,2926803.654,430224.1468,2084684.144,1403476.598,876731.5431,935649.6762
NAcetylornithine,162095.4506,287017.2918,405209.171,1357095.979,190033.8511,1065783.639,1735255.991,129135.2908,1167578.511,1603017.502,1296509.68,886513.6375,1479626.547,2122478.038,1876926.216,1699789.668,158819.5965,1828659.776,2476771.868,2805259.83,1628016.657,1766426.716,4776272.913,11714598.61,6973118.16,10495131.22,11709943.82,15948068.6,5481658.362,13647462.61,10773790.86,18309172.48,8403246.577,16552378.76,8758974.707,18985300.5,3068580.467,12361277.2,5686497.677,14214662.64,3439613.845,10646449.18,142188.8864,28738.11992,85463.50316,553222.2168,148442.3234,796773.0932,686780.6122,491317.6279,1287115.903,577877.2139,1367141.618,256786.7006,1507255.093,397233.4315,355282.0504,1961717.888,588935.4491,979342.2524
"2,6-Dihydroxybenzoic acid",4133.303373,4860.275356,6661.037122,2438.151656,6292.051466,2071.305295,2521.687036,4390.870329,2556.799658,2156.277025,4378.488156,3977.138512,8649.381899,2740.359676,2776.781995,5106.645649,6047.334041,1817.065194,2576.895628,1664295.642,1345232.66,1275379.621,1357200.954,7472613.73,5763691.725,10601851.08,2235438.998,8400216.97,2618540.954,10488377.16,3931557.241,10481966.51,3862417.356,12394151.51,8968480.853,9451623.385,4103634.477,13353078.84,6646542.278,20691717.49,2830668.221,11759241.48,2787.936958,2076.473098,2432.205028,2934.930907,2508.550821,4449.496075,2353.820741,2321.330289,2283.907357,2055.78937,2420.499821,4679.23434,3358.980737,3839.658065,4216.17507,2070.609862,10283.83396,1883.47612
Isopentenyladenine ,425853.4679,313935.7093,716831.8658,1150370.909,399938.5256,1468657.706,835730.6043,377572.1865,1896533.755,1140032.397,1120959.541,2107371.916,435004.7922,1811338.27,1857959.448,2763173.544,34139.86593,2138799.519,2319953.504,746637.1304,387981.901,702346.9147,1184772.144,3237849.593,1203014.636,3360383.656,3851560.824,4334057.387,518334.0744,4577124.999,5561956.519,4602676.848,1195970.426,5339229.931,4130839.841,4071687.114,1003945.619,5738642.619,2591555.609,7569150.159,729107.3331,5423232.568,389385.0235,276209.6371,332797.3303,3587617.067,860438.152,3411313.465,5423133.681,1671997.638,5453810.856,6131439.759,5082968.55,4521707.156,4506874.104,1095425.788,7738183.071,9119264.241,4136524.31,5104441.969
Yersiniabactin,2622527.698,826609.9902,6698354.122,208979.4001,117270.3893,9089399.303,394098.5448,68093.18662,7047562.23,362624.1931,178837.238,8087349.008,309832.0295,279958.8784,264614.185,12262361.14,17116.73367,3062009.347,836060.3798,524513.5027,1978431.669,12921398.18,509572.1943,4236529.499,1775718.005,158172670.9,915060.7652,215921.2667,87099.69534,58250837.01,406508.2969,567324.6479,88957.1742,45252336.3,496818.9328,316285.2072,79681.42375,88274293.96,545880.5146,735207.7176,1745781.172,14076537.84,37446595.08,57306081.02,47376338.05,1858862718,451574467.9,1116493744,2270311712,960874429.5,1747011717,2698507896,2630778933,1408025121,2358788715,452420477,2117117507,3453635306,1952665732,1694597109
Hexanoylhomoserine lactone,12580.53446,1762.620147,7955.425192,24706.85476,9094.051577,108367.9723,37735.43101,12479.25754,143258.2973,29480.84594,33064.71131,187726.1003,72610.1099,134698.0698,17393.86944,341021.021,1045.611528,87586.25893,48578.97507,490438.467,486280.7083,362835.7884,898524.2028,2712758.094,1129549.978,2601509.78,3356532.258,3624317.076,358170.1927,3352367.468,3432430.143,2933427.25,813048.5602,3486887.02,2503509.727,2404848.481,440109.8238,3192838.129,1661042.661,4551383.399,419401.7297,2791659.386,47410.03217,7667.282485,27538.65733,63369.54338,8435.67907,13504.50394,12198.51471,11724.72315,90389.08636,48788.6231,39568.76895,18272.86962,37767.76871,13606.41141,98112.94121,125166.6205,53192.25287,82540.0654
DETHIOBIOTIN ,278475.2187,76158.70623,431245.7175,701024.8115,364719.7964,778295.1149,870727.6912,279361.2023,749083.2944,1382616.072,824298.4101,992045.118,174213.0926,1611832.359,2908116.269,1313190.99,3382.08761,1450474.534,3171741.397,475483.9128,2223659.749,1603574.642,1020500.147,2404331.925,4014515.023,2717547.35,2051305.186,979825.6917,1625206.818,3614584.373,1742902.629,2944663.092,2861069.729,4692601.86,1442288.476,3792929.39,961940.2015,4436624.594,1481020.776,9869491.275,846685.6175,4258141.904,970109.7042,3866513.301,2418311.503,2655003.645,1041005.548,2116803.004,2476467.681,1013140.483,2298345.962,1651754.508,4271721.117,1042929.994,430205.209,580973.7859,1395516.477,1477721.229,2010674.855,883879.3493
Adenine ,377961.4554,464250.2076,434431.3839,2172458.524,444502.6823,791874.9055,892260.916,327791.2834,1039285.778,650183.2616,1905020.675,1375140.872,447544.2587,1592374.725,1588944.041,2192484.37,36129.06201,1911809.861,3489805.462,438359.2558,399061.6651,364768.3282,546033.5805,1245279.128,845678.0591,918697.329,1859462.942,1413074.425,262811.0456,910603.5587,2350313.588,1772060.52,499293.2812,1179298.444,1303034.726,1009265.014,419062.2617,927731.7442,746061.7341,1394629.1,242294.4876,967605.511,624923.9697,387648.9379,506286.4538,1075874.847,226206.1855,990142.9407,752523.3266,292887.9092,1454472.131,988093.4025,885439.7044,1174763.796,1211232.541,208402.9613,1352189.28,1973040.534,658090.4654,909423.1001
7-Keto-8-aminopelargonic acid,1029728.219,476118.4485,1412839.392,1947477.108,292626.5985,2366266.954,1356897.273,105405.0541,2691579.602,1726913.448,948655.0189,2612455.557,333982.5779,2487150.874,880275.6264,3097400.438,86432.14077,3050497.178,2014727.682,613372.9471,318297.6362,457976.5145,273978.2779,1662364.874,429245.9448,2233591.123,878361.7606,1873580.864,82983.18996,1804477.237,1271612.466,2066271.82,241013.5182,2095655.625,1199549.866,1247120.644,95831.34941,1644962.489,149594.2257,2789606.061,60541.24753,1491927.797,1418749.896,599284.8118,1009017.354,3745039.614,528306.7497,2452951.189,4292029.86,716777.1343,4540761.506,3613281.638,3382210.049,3065101.934,2659531.672,242437.7952,6088762.332,7016279.36,1657164.551,2215313.495
