Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Cv_12pt5hr-1,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-1,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-1,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-1,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-1,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-4,1mem_Ps_25hr-1,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-1,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-1,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-1,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-1,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,Ps_6
CYTOSINE,917267.0697,2471202.569,2456284.303,2694912.337,1232860.998,5596388.41,5060499.987,2991025.445,1529917.559,4150710.438,4623182.542,5202552.637,1135983.375,3390465.016,7866282.375,2698373.731,2865680.475,5889493.316,8099193.044,5470902.057,2454578.471,4822715.176,7346229.658,84737832.21,502114293.3,422058946.4,258427190.9,704828443,1686144160,2060208262,1480053712,1521317034,1946421177,1954861850,2817714688,1919586578,2297512052,1839175885,1003945683,1477252530,2558217040,1838983590,2705035219,1326814843,3092490447,2341110076,2844002906,29898468,136232657.3,59387747.18,21085652.55,91133387.91,209710812.9,366125951.2,336619995.1,185284241.8,366544698.2,452585560.2,223195103.9,258123811.3,326914933.7,705397847,171296697.5,298360379.5,231345201.9,662136464,284538407.2,233675494.5,512173903.5,802375126.3,340250161.5
NAcetylornithine,9486735.642,15599425.84,14919544.45,17215578.45,22407126.63,63229497.45,45510895.16,17745320.23,27840893.91,31955891.36,62330178.64,23154476.62,16271059.86,23107891.1,54275095.27,15054831.8,24808777.35,77368454.42,92306242.69,34706354.51,21148203.98,28366057.69,58927206.97,22697876.11,75124566.61,47317695.98,21649540.21,46720449.69,116610401.2,107677568.5,72554001.67,66135283.28,99488120.77,146298236.9,70226449.62,80033591.58,124898823.7,135131619.6,41099925.48,95537871.17,119682744.3,146518950.9,122496221.8,66255655.74,118639710.9,153155390.3,66604543.24,9794213.023,16248489.77,15869577.53,7508931.414,16167028.43,16127742.81,16602460.28,19903386.36,24444505.17,41976169.8,16097482.59,16798898.65,17576169.48,19823956.91,20614957.7,10287253.56,16260154.73,36501910.83,45974487.56,154818.0581,14431254.41,35586094.03,26811053.35,15419103.31
5'-METHYLTHIOADENOSINE,36265113.55,23262317.69,55413964.4,48075054.87,40055318.98,38704358.94,64530928.73,70346802.38,42773083.01,33638145.79,679194.4714,1146375.932,459293.1678,89696793.91,123222064.6,45815084.22,85487668.9,127225095.5,142618779,122783636.2,41610642.43,109942033.8,151157744.6,17277230.19,41375860.8,47708065.35,30882256.6,43913711.49,143959495,158251066,101566294.1,92556150.34,145681751.5,181382127.2,206348998.5,125442596.7,178845212.1,186428800.7,52727145.56,109208956.5,207975607,273058931.9,215066810.1,90338738.29,270645031.7,234249678.3,176400097.9,20118415.29,47736139.51,30105786.07,20335577.44,10280584.17,32649846.9,27380378.71,34316585.32,545254.7069,44983120.59,38501642.24,13589712.07,445844.6358,25483490.3,26768286.81,5329479.204,2753315.229,17137440.07,9408199.418,803629.6021,2227188.673,4211869.499,7097380.108,1136920.111
NAcetylglutamine,149495.8166,2719331.143,2770893.565,262768.9158,1689045.747,7114751.581,4514536.383,2778110.013,1740588.597,6736820.333,7256104.237,1478364.258,2088559.066,5529413.185,8659634.711,3900600.313,4226397.347,12387221.55,529834.6726,7018191.738,4976519.438,12166078.4,713157.0848,5410322.283,29966757.27,23689811.09,13152706.44,34650121.71,149971224.2,150816835.3,102781534.8,18632572.64,161027114.8,68207892.17,180215.648,57121.15504,270116959.4,101741.5422,131784.8561,31319324.83,310748535.4,71083407,354190.3422,28657294.46,407331696.3,188717998.9,57870971.72,655545.0772,177160.287,5804876.862,5640772.696,56649563.67,106677098.5,27533584.74,193439.9963,92802624.96,160087280.7,113689128.6,56394738.5,37356154.81,175639496.4,201584874.2,43834265.09,52450298.39,194522533.2,160239026,61670406.17,57769767.44,394254419.1,304228048.7,62911764.89
L-beta-Homophenylalanine ,3334195.205,1948351.813,4798267.451,1093190.073,3403964.942,3191687.262,4543336.881,4122463.41,3799159.857,2942366.389,4775567.393,5447908.518,2719349.63,3481548.49,6180487.14,2743731.889,6120315.815,3531619.309,7415448.211,6281913.836,3631980.978,3001709.484,6636335.943,4103084.427,8269514.677,8481205.944,6166244.298,17825134.98,77470608.4,46915305.71,26270983.19,28681471.78,88837639.38,63661134.48,127060439.4,34063653.73,127118960.4,98044249.64,32514312.57,26808415.98,152165791.3,89719865.95,162624823.9,17343089.07,137446113.1,121087853.1,112220751.1,1830446.035,3185135.657,3633714.083,2778271.263,3234459.423,921278.8114,2513748.984,1245153.07,4016147.327,1100948.31,3579752.019,2646083.726,4559548.514,969664.9115,3251868.156,2235500.46,5051034.782,1246624.807,2916927.39,2067927.958,5306486.357,2379974.871,3078522.861,2932968.819
4-GUANIDINOBUTANOATE,5888654.831,17975311.05,7771327.256,9512345.475,6755282.843,35549300.8,12811603.28,7114259.282,7936447.522,28779695.58,11524838.91,9216277.92,5941151.977,22985617.12,18176059.35,4910960.082,11686162.59,28820462.92,24334396.81,10420159.57,8027917.324,16071271.16,20107417.64,6315224.039,24507885.25,16315771.08,11388540.93,11336910.16,38192591.85,31167896.43,19338232.96,24375862.21,34300700.4,30659531.52,49089387.9,25204054.83,41777241.35,25174660.79,9586577.449,18660083.84,42964415.26,79709319.06,49036163.71,16317141.34,67110574.66,34549041.91,45197973.14,5345508.02,11836850.89,10688729.56,9097384.964,17643790.07,38442237.54,46987097.97,41050471.89,34551954.65,86816946.66,108583451,29953917.57,39069399.29,74617551.28,128820168.9,21398953.74,56672938.35,85637247.51,154742178.9,23538558.32,39128425.55,116162292.1,184762390.3,29469810.05
HYPOXANTHINE,1367195.446,2344015.308,2172628.832,3281047.857,1319333.785,2182258.449,2670949.507,2267012.067,1397314.044,2171718.492,1941644.158,3594758.765,1648790.411,1604922.52,2322202.046,2101141.72,1975449.046,2182339.297,2499430.132,2946974.856,2666964.79,1673284.952,3315639.918,1952378.278,15187242.21,8687309.553,5103143.02,28444847.57,58707542.61,60755979.78,30240571.41,59934297.03,68714591.14,59497575.87,211038622,134615688.6,106539953.7,46935120.67,57196458.56,183765036.5,269415068,517160732.4,465712824.5,186954619.3,251904241.1,289539206.8,339765459.4,17817072.17,56386101.21,66437707.34,31644976.9,165472716.5,298212102.8,238384264.5,399572955.5,304193930.6,335199305.9,358362143.4,237791422.8,244441359.8,463424885.6,192921909.1,224039711.6,313868918.3,307342821.3,407941065.2,214996018.1,116733459.6,223172040.8,236113237.1,236970339.8
3-METHYLADENINE,15626798.76,44794584.11,27951977.9,37064563.62,31752718.75,97909468.86,63593675.48,60021512.68,39297190.64,86283584.77,70647878.08,70170436.3,21858222.66,98189251.07,114265736.5,34577094.22,68039481.82,188665385,158210365.7,133101763.2,33006474.82,121798609.1,147259018.1,3092787.22,14775677.72,9081997.277,6136339.799,8864741.461,22401284.03,20335424.15,10522746.82,16483482.61,17008617.57,16328022.76,23095084.83,20356384.64,20691542.99,13448842.53,4238413.784,17392914.44,21587539.14,22486065.33,21386099.33,14751848.59,30943802.71,16810549.92,16360393.21,3273835.549,11743027.28,7332150.661,3876548.036,9765582.183,11626287.67,11116624.49,22291507.28,21463113.59,32336265.25,17337585.32,20236380.77,16094649.26,14714920.16,16478156.79,19569173.83,21555171.72,27980810.03,19629407.16,15777226.45,17710733.64,28442488.39,24019289.78,27530806.38
Nicotinamide riboside cation,32860.17756,1210660.941,748570.679,1027020.992,1108125.808,4935907.247,2683525.884,337750.5743,531655.8662,3701664.664,2925500.902,2110042.857,837948.7649,3520399.847,5406770.504,935548.1752,2673008.34,7180093.565,8009647.366,753300.1461,1376573.795,3815900.499,6205099.454,1459872.38,14754409.22,10676825.36,3157987.539,12679168.16,81527212.19,116998581.9,18980084.25,48999963.09,94037807.13,96633882.12,212566498.8,60691949.01,131339980.8,80089740.63,11035076.01,30198081.92,148078170.7,86520108.71,7791924.911,18167146.5,281028884.3,98266695.31,56568781.71,1191820.83,6480091.041,5186038.581,254446.3442,48884331.91,93158514.07,99619643.92,232022822.3,144743495.5,346283447.3,305491988.2,87839353.03,129328515.4,189481051.9,318248197.9,63870651.29,175935587.8,92889253.78,306431853,51629954.13,114872851.9,358286681.4,457099879.2,84509374.89
