Code,Sample,Ind,time,class,factor,RowOrder
BYZHT,2mem_Ps_Bt_12.5hr_BR1,1,750,exp_Bt,PsBt-12,1
BYSWZ,2mem_Ps_Bt_25hr_BR1,1,1500,exp_Bt,PsBt-25,2
BYSXA,2mem_Ps_Bt_30hr_BR1,1,1800,exp_Bt,PsBt-30,3
BYSXB,2mem_Ps_Bt_35hr_BR1,1,2100,exp_Bt,PsBt-35,4
BYSXC,2mem_Ps_Bt_40hr_BR1,1,2400,exp_Bt,PsBt-40,5
BYSXG,2mem_Ps_Bt_45hr_BR1,1,2700,exp_Bt,PsBt-45,6
BYZHY,2mem_Ps_Bt_12.5hr_BR2,2,750,exp_Bt,PsBt-12,7
BYSYH,2mem_Ps_Bt_25hr_BR2,2,1500,exp_Bt,PsBt-25,8
BYSYN,2mem_Ps_Bt_30hr_BR2,2,1800,exp_Bt,PsBt-30,9
BYSYO,2mem_Ps_Bt_35hr_BR2,2,2100,exp_Bt,PsBt-35,10
BYSYP,2mem_Ps_Bt_40hr_BR2,2,2400,exp_Bt,PsBt-40,11
BYSYS,2mem_Ps_Bt_45hr_BR2,2,2700,exp_Bt,PsBt-45,12
BYZNC,2mem_Ps_Bt_12.5hr_BR3,3,750,exp_Bt,PsBt-12,13
BYSZT,2mem_Ps_Bt_25hr_BR3,3,1500,exp_Bt,PsBt-25,14
BYSZU,2mem_Ps_Bt_30hr_BR3,3,1800,exp_Bt,PsBt-30,15
BYSZW,2mem_Ps_Bt_35hr_BR3,3,2100,exp_Bt,PsBt-35,16
BYSZX,2mem_Ps_Bt_40hr_BR3,3,2400,exp_Bt,PsBt-40,17
BYSZY,2mem_Ps_Bt_45hr_BR3,3,2700,exp_Bt,PsBt-45,18
BYZNO,2mem_Ps_Bt_12.5hr_BR4,4,750,exp_Bt,PsBt-12,19
BYTAZ,2mem_Ps_Bt_25hr_BR4,4,1500,exp_Bt,PsBt-25,20
BYTBA,2mem_Ps_Bt_30hr_BR4,4,1800,exp_Bt,PsBt-30,21
BYTBB,2mem_Ps_Bt_35hr_BR4,4,2100,exp_Bt,PsBt-35,22
BYTBC,2mem_Ps_Bt_40hr_BR4,4,2400,exp_Bt,PsBt-40,23
BYTBG,2mem_Ps_Bt_45hr_BR4,4,2700,exp_Bt,PsBt-45,24
BYZHU,2mem_Ps_Cv_12.5hr_BR1,5,750,exp_Cv,PsCv-12,25
