"","GeneID","Type","Component","Substrate"
"8",2508868641,"ABC","ABC","sugar (ribose)"
"12",2508869519,"ABC","ABC","sugar (ribose)"
"14",2508866098,"ABC","binding","choline"
"19",2508866258,"ABC","binding","2-aminoethylphosphonate"
"35",2508867247,"ABC","binding","phosphate"
"42",2508867781,"ABC","binding","phosphonates"
"49",2508868149,"ABC","binding","lipoprotein"
"57",2508868473,"ABC","binding","xylose"
"58",2508868486,"ABC","binding","methionine"
"59",2508868490,"ABC","binding","lipid A"
"66",2508868602,"ABC","binding","lipid A"
"70",2508868640,"ABC","binding","ribose"
"71",2508868665,"ABC","binding","polyamine"
"75",2508868781,"ABC","binding","phosphate"
"80",2508868838,"ABC","binding","lipoprotein"
"84",2508868984,"ABC","binding","mobybdenate"
"85",2508868986,"ABC","binding","molybdate"
"90",2508869033,"ABC","binding","carbohydrate"
"93",2508869075,"ABC","binding","glycine betaine"
"95",2508869088,"ABC","binding","lipid A"
"108",2508869751,"ABC","binding","glycine betaine"
"112",2508869926,"ABC","binding","2-aminoethylphosphonate"
"113",2508869926,"ABC","binding","2-aminoethylphosphonate"
"118",2508870166,"ABC","binding","leucine/valine"
"119",2508870169,"ABC","binding","daunorubicin"
"120",2508870170,"ABC","binding","daunorubicin"
"132",2508870645,"ABC","binding","dipeptide/glycine betaine"
"135",2508870675,"ABC","binding","phosphonate"
"139",2508871003,"ABC","binding","daunorubicin"
"140",2508871004,"ABC","binding","daunorubicin"
"141",2508871007,"ABC","binding","leucine/valine"
"143",2508871273,"ABC","binding","phosphate"
"147",2508871289,"ABC","binding","nitrate"
"152",2508871359,"ABC","binding","phosphonate"
"154",2508871364,"ABC","binding","glycine betaine"
"157",2508871410,"ABC","binding","nitrate"
"158",2508871412,"ABC","binding","glycine betaine"
"159",2508871415,"ABC","binding","glycine betaine"
"166",2508866021,"ABC","binding protein","dipeptide/oligopeptide"
"169",2508866295,"ABC","binding protein","nitrate/sulfonate/taurine"
"177",2508867244,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"178",2508867282,"ABC","binding protein","sugar"
"179",2508867323,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"182",2508867815,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"190",2508868668,"ABC","binding protein","spermidine/putrescine"
"192",2508868778,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"206",2508869748,"ABC","binding protein","oligopeptide"
"207",2508870195,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"211",2508870610,"ABC","binding protein","dipeptide/oligopeptide"
"212",2508870634,"ABC","binding protein","dipeptide/oligopeptide"
"213",2508870635,"ABC","binding protein","dipeptide/oligopeptide"
"214",2508870636,"ABC","binding protein","dipeptide/oligopeptide"
"215",2508870638,"ABC","binding protein","dipeptide/oligopeptide"
"216",2508871271,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"218",2508871401,"ABC","binding protein","spermidine/putrescine"
"219",2508871402,"ABC","binding protein","spermidine/putrescine"
"221",2508871457,"ABC","binding protein","amino acid (glutamine/glutamate/aspartate)"
"231",2508868757,"RND","HAE1","multidrug/solvent efflux (HAE1 subfamily)"
"244",2508869191,"MOP","MATE","multidrug efflux"
"252",2508866259,"ABC","membrane","iron(III)"
"277",2508867245,"ABC","membrane","amino acid"
"278",2508867246,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"292",2508868259,"ABC","membrane","unknown substrate"
"294",2508868401,"ABC","membrane","sugar (ribose)"
"305",2508868642,"ABC","membrane","sugar (ribose)"
"309",2508868709,"ABC","membrane","sugar"
"310",2508868779,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"328",2508869102,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"334",2508869290,"ABC","membrane","phosphate"
"335",2508869291,"ABC","membrane","phosphate"
"337",2508869518,"ABC","membrane","sugar (ribose)"
"340",2508869749,"ABC","membrane","dipeptide/oligopeptide"
"342",2508869771,"ABC","membrane","sugar"
"350",2508870167,"ABC","membrane","branched-chain amino acid"
"351",2508870168,"ABC","membrane","branched-chain amino acid"
"365",2508870973,"ABC","membrane","branched-chain amino acid"
"367",2508871005,"ABC","membrane","branched-chain amino acid"
"368",2508871006,"ABC","membrane","branched-chain amino acid"
"379",2508871411,"ABC","membrane","nitrate/sulfonate/taurine"
"387",2508869400,"CPA3","MnhA","multicomponent sodium ion:proton antiporter"
"398",2508870294,"TTT","TctA","tricarboxylate (TctA)"
"399",2508870292,"TTT","TctC","tricarboxylate (TctC)"
"401",2508871696,"ACR3","unknown","arsenite"
"403",2508871618,"AGCS","unknown","sodium ion:alanine symporter"
"410",2508867805,"APC","unknown","amino acid"
"413",2508871455,"APC","unknown","GABA"
"416",2508869651,"ArAE","unknown","fusaric acid efflux"
"423",2508867360,"Bestrophin","unknown","Bestrophin anion channel"
"428",2508870932,"CDF","unknown","cation efflux"
"429",2508865996,"CitMHS","unknown","proton:citrate symporter"
"434",2508868353,"CPA2","unknown","potassium/sodium ion:proton antiporter"
"454",2508871716,"F-ATPase","unknown","protons"
"458",2508871720,"F-ATPase","unknown","protons"
"459",2508871721,"F-ATPase","unknown","protons"
"460",2508871722,"F-ATPase","unknown","protons"
"461",2508871723,"F-ATPase","unknown","protons"
"472",2508867373,"IIISP","unknown","unknown substrate"
"483",2508867964,"IIISP","unknown","unknown substrate"
"485",2508869626,"ILT","unknown","iron ion"
"486",2508869627,"ILT","unknown","iron ion"
"489",2508870940,"IVSP","unknown","unknown substrate"
"491",2508871804,"IVSP","unknown","unknown substrate"
"494",2508871879,"IVSP","unknown","unknown substrate"
"495",2508871882,"IVSP","unknown","unknown substrate"
"496",2508871883,"IVSP","unknown","unknown substrate"
"505",2508866804,"MFS","unknown","multidrug efflux"
"507",2508866971,"MFS","unknown","multidrug efflux"
"511",2508867458,"MFS","unknown","multidrug efflux"
"518",2508867907,"MFS","unknown","multidrug efflux"
"526",2508868343,"MFS","unknown","D-galactonate"
"529",2508868499,"MFS","unknown","metabolite (benzoate)"
"531",2508868688,"MFS","unknown","multidrug efflux"
"545",2508869619,"MFS","unknown","multidrug efflux"
"546",2508869717,"MFS","unknown","multidrug efflux"
"548",2508869781,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"559",2508870376,"MFS","unknown","multidrug efflux"
"563",2508870626,"MFS","unknown","D-galactonate"
"569",2508871436,"MFS","unknown","oxalate:formate antiporter"
"571",2508871772,"MFS","unknown","nitrate/nitrite"
"573",2508871851,"MFS","unknown","nitrate/nitrite"
"594",2508871043,"Mot/Exb","unknown","unknown substrate"
"600",2508868289,"MscS","unknown","small-conductance mechanosensitive ion channel"
"608",2508866891,"MTB","unknown","unknown substrate"
"609",2508866892,"MTB","unknown","unknown substrate"
"611",2508869339,"MTB","unknown","unknown substrate"
"613",2508871066,"NCS1","unknown","cytosine/purines/uracil/thiamine/allantoin"
"614",2508866730,"NCS2","unknown","xanthine/uracil"
"619",2508870348,"NiCoT","unknown","nickel ion"
"624",2508869782,"OMF","unknown","unknown substrate"
"625",2508867973,"OOP","unknown","unknown substrate"
"630",2508867984,"P-ATPase","unknown","zinc/cadmium/cobalt ion"
"654",2508867613,"SSS","unknown","sodium ion:proline symporter"
"659",2508870233,"SSS","unknown","sodium ion:proline symporter"
"662",2508871107,"SSS","unknown","sodium ion:proline symporter"
"667",2508869623,"SulP","unknown","sulfate"
"670",2508871349,"SulP","unknown","sulfate"
"680",2508867025,"TRAP-T","unknown","C4-dicarboxylate"
